Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,L_FG,L_2P,L_3P,L_eFG,L_FT,L_TS,L_FTr,L_3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG_Add,TS_Add
Álex Abrines,1993-08-01,0,2016-17,23,OKC,NBA,SG,68,1055,.393,.426,.381,.531,.898,.560,.144,.724,.457,.503,.358,.514,.772,.552,.271,.316,86,85,106,103,116,101,53,229,11.7,5.5
Álex Abrines,1993-08-01,0,2017-18,24,OKC,NBA,SG,75,1134,.395,.443,.380,.540,.848,.567,.158,.759,.460,.510,.362,.521,.767,.556,.252,.337,86,87,105,104,111,102,63,225,10.7,6.8
Álex Abrines,1993-08-01,0,2018-19,25,OKC,NBA,SG,31,588,.357,.500,.323,.487,.923,.507,.083,.809,.461,.520,.355,.524,.766,.560,.259,.359,77,96,91,93,120,91,32,225,-11.6,-17.1
Mike Harris,1983-06-15,0,2009-10,26,TOT,NBA,PF,13,96,.367,.379,.000,.367,.636,.416,.367,.033,.461,.492,.355,.501,.759,.543,.300,.222,79,77,0,73,84,77,122,15,-8.0,-8.8
Manny Harris,1989-09-21,0,2010-11,21,CLE,NBA,SG,54,933,.374,.376,.370,.433,.763,.486,.322,.318,.459,.487,.358,.498,.763,.541,.300,.222,81,77,103,87,100,90,107,144,-38.1,-36.2
Jalen Harris,1998-08-14,0,2020-21,22,TOR,NBA,SG,13,172,.500,.528,.472,.618,.778,.632,.125,.500,.466,.530,.367,.538,.778,.572,.247,.392,107,100,129,115,100,111,51,128,11.5,9.1
Andrew Harrison,1994-10-28,0,2016-17,22,MEM,NBA,PG,72,1474,.325,.363,.276,.385,.763,.477,.539,.433,.457,.503,.358,.514,.772,.552,.271,.316,71,72,77,75,99,86,199,137,-92.9,-67.0
Terrel Harris,1987-08-10,0,2011-12,24,MIA,NBA,SG,22,318,.349,.477,.205,.398,.667,.434,.253,.470,.448,.477,.349,.487,.752,.527,.276,.226,78,100,59,82,89,82,92,208,-14.9,-17.2
Aaron Harrison,1994-10-28,0,2015-16,21,CHO,NBA,SG,21,93,.263,.222,.300,.342,.417,.371,.632,.526,.452,.491,.354,.502,.757,.541,.276,.285,58,45,85,68,55,68,229,185,-6.1,-8.3
Mike Harris,1983-06-15,0,2009-10,26,HOU,NBA,PF,8,82,.370,.385,.000,.370,.556,.404,.333,.037,.461,.492,.355,.501,.759,.543,.300,.222,80,78,0,74,73,74,111,17,-7.0,-8.6
