Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Mindaugas Kuzminskas,1989-10-19,0,2016-17,27,NYK,NBA,SF,68,1016,12.4,.533,.455,.184,5.0,8.4,6.7,10.3,1.4,0.9,11.3,19.2,0.8,0.4,1.2,.055,-0.6,-1.4,-1.9,0.0
Ognjen Kuzmić,1990-05-16,0,2013-14,23,GSW,NBA,C,21,92,3.4,.420,.000,.846,12.1,12.8,12.5,2.9,1.6,3.3,35.9,13.3,-0.2,0.1,0.0,-0.025,-8.7,-0.2,-8.9,-0.2
Rodions Kurucs,1998-02-05,0,2018-19,20,BRK,NBA,SF,63,1294,11.0,.545,.410,.205,4.6,15.4,10.0,6.0,1.5,1.5,13.6,18.4,0.1,1.5,1.6,.059,-2.9,0.3,-2.6,-0.2
Mindaugas Kuzminskas,1989-10-19,0,2017-18,28,NYK,NBA,SF,1,2,-41.1,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,0.0,0.0,0.0,-1.065,-33.0,-21.7,-54.7,0.0
Ognjen Kuzmić,1990-05-16,0,2014-15,24,GSW,NBA,C,16,72,12.9,.727,.000,.333,10.8,14.5,12.7,11.1,1.4,1.0,26.7,11.3,0.2,0.1,0.3,.171,-2.3,0.8,-1.4,0.0
Ognjen Kuzmić,1990-05-16,1,2013-14,23,GSW,NBA,C,3,8,5.7,,,,14.0,43.9,28.7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.098,-1.9,-1.9,-3.7,0.0
Rodions Kurucs,1998-02-05,0,2019-20,21,BRK,NBA,PF,47,684,8.9,.555,.508,.215,3.9,16.6,10.4,10.4,1.7,0.6,19.2,14.7,-0.1,0.8,0.8,.055,-3.6,0.9,-2.8,-0.1
Rodions Kurucs,1998-02-05,0,2020-21,22,TOT,NBA,"PF,SF",21,125,6.3,.459,.656,.125,4.3,15.4,9.8,10.3,3.4,2.9,27.8,15.9,-0.3,0.2,-0.1,-0.041,-6.4,1.8,-4.6,-0.1
Nenad Krstić,1983-07-25,0,2009-10,26,OKC,NBA,C,76,1741,13.7,.527,.009,.189,9.1,16.0,12.6,4.9,0.9,1.9,8.7,17.1,2.0,2.2,4.2,.116,-1.5,-0.2,-1.8,0.1
Kyle Kuzma,1995-07-24,0,2017-18,22,LAL,NBA,PF,77,2401,14.2,.549,.418,.200,3.9,17.4,10.7,9.1,1.0,1.1,11.0,22.5,1.5,2.3,3.8,.077,0.3,-1.0,-0.7,0.8
