Name,Born,Is_playoff,Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Viacheslav Kravtsov,1987-08-25,0,2012-13,25,DET,NBA,28:34,6,7,0,0,6,7,3,10,5,5,10,2,2,3,3,4,14,12.4
Rodions Kurucs,1998-02-05,0,2018-19,20,BRK,NBA,38:46,8,15,5,11,7,14,8,10,4,10,12,4,3,3,4,6,24,18.9
Viacheslav Kravtsov,1987-08-25,0,2013-14,26,PHO,NBA,9:30,2,3,0,0,2,3,1,2,2,2,3,1,0,1,2,2,5,6.4
Rodions Kurucs,1998-02-05,0,2019-20,21,BRK,NBA,31:01,7,11,4,8,3,5,2,2,2,8,9,5,3,1,4,5,19,15.8
Rodions Kurucs,1998-02-05,0,2020-21,22,TOT,NBA,21:18,3,5,2,4,1,2,2,2,2,4,6,4,2,2,2,3,8,5.3
Kyle Kuzma,1995-07-24,0,2017-18,22,LAL,NBA,46:10,12,24,7,11,9,16,9,13,5,13,15,6,3,2,5,5,38,35.3
Nenad Krstić,1983-07-25,0,2009-10,26,OKC,NBA,37:30,7,14,1,2,7,14,8,11,6,8,11,4,3,4,3,6,20,15.7
Nick Richards,1997-11-29,0,2020-21,23,CHO,NBA,8:54,1,2,0,1,1,2,2,3,2,2,3,1,0,0,2,2,3,3.2
Chris Richard,1984-12-25,0,2009-10,25,CHI,NBA,23:05,3,4,0,0,3,4,2,4,4,6,9,3,2,2,3,6,6,8.9
Rodions Kurucs,1998-02-05,0,2020-21,22,BRK,NBA,6:36,1,1,1,1,0,1,0,0,0,1,1,2,0,0,0,1,3,3.0
Rodions Kurucs,1998-02-05,0,2020-21,22,HOU,NBA,21:18,1,5,1,4,1,2,1,2,1,4,4,2,2,2,2,3,4,3.3
Rodions Kurucs,1998-02-05,0,2020-21,22,MIL,NBA,16:57,3,4,2,2,1,2,2,2,2,4,6,4,2,0,2,3,8,5.3
Kyle Kuzma,1995-07-24,0,2018-19,23,LAL,NBA,45:08,16,25,7,14,11,16,7,10,4,12,12,10,3,2,6,5,41,30.1
Kyle Kuzma,1995-07-24,0,2019-20,24,LAL,NBA,39:44,15,24,4,10,11,18,6,7,5,10,15,7,4,3,5,5,36,26.3
Kyle Kuzma,1995-07-24,0,2020-21,25,LAL,NBA,41:45,11,21,6,15,7,12,6,6,6,11,13,8,2,3,6,5,30,21.6
Nenad Krstić,1983-07-25,0,2010-11,27,TOT,NBA,41:33,8,15,0,0,8,15,7,8,7,11,15,2,3,3,4,5,20,20.2
Nenad Krstić,1983-07-25,0,2010-11,27,OKC,NBA,41:33,8,12,0,0,8,12,7,8,7,6,11,2,3,3,2,4,18,17.2
Nenad Krstić,1983-07-25,0,2010-11,27,BOS,NBA,37:44,7,15,0,0,7,15,6,8,6,11,15,2,2,2,4,5,20,20.2
Chris Richard,1984-12-25,1,2009-10,25,CHI,NBA,3:26,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1.0
Kosta Koufos,1989-02-24,0,2009-10,20,UTA,NBA,17:35,3,5,0,0,3,5,4,5,5,3,8,2,1,2,4,3,6,7.3
Rodions Kurucs,1998-02-05,1,2018-19,20,BRK,NBA,21:42,4,8,2,3,3,5,4,5,4,5,7,1,1,0,1,5,14,13.0
Rodions Kurucs,1998-02-05,1,2019-20,21,BRK,NBA,17:05,4,7,0,3,4,5,0,2,1,5,6,2,1,1,2,6,8,6.5
Josh Richardson,1993-09-15,0,2015-16,22,MIA,NBA,38:14,9,13,4,6,5,9,5,6,4,6,6,4,3,3,4,5,22,20.8
Glen Rice Jr.,1991-01-01,0,2013-14,23,WAS,NBA,28:53,3,9,2,5,3,5,2,3,1,4,5,3,3,1,2,2,8,5.6
Jason Richardson,1981-01-20,0,2009-10,29,PHO,NBA,44:56,12,20,6,9,10,14,8,11,4,11,13,5,5,3,4,5,34,28.9
Cameron Reynolds,1995-02-07,0,2018-19,23,MIN,NBA,25:57,7,11,5,7,2,4,2,2,1,6,6,2,2,1,2,4,19,15.4
Kyle Kuzma,1995-07-24,1,2019-20,24,LAL,NBA,30:19,7,14,5,9,7,9,4,4,4,7,8,3,1,1,4,5,19,14.2
Kyle Kuzma,1995-07-24,1,2020-21,25,LAL,NBA,25:21,6,13,2,8,5,8,2,5,3,7,10,3,1,1,2,3,15,6.3
Nenad Krstić,1983-07-25,1,2009-10,26,OKC,NBA,28:43,4,10,0,0,4,10,3,3,4,7,11,2,1,2,3,5,11,10.1
Nenad Krstić,1983-07-25,1,2010-11,27,BOS,NBA,15:36,3,3,0,0,3,3,2,3,2,3,5,1,0,2,2,4,8,7.1
Kosta Koufos,1989-02-24,0,2010-11,21,TOT,NBA,26:43,7,11,0,1,7,11,6,7,7,9,11,1,2,3,4,5,18,18.9
Kosta Koufos,1989-02-24,0,2010-11,21,MIN,NBA,25:13,4,9,0,1,4,9,3,3,7,9,11,1,2,3,2,5,9,9.4
Kosta Koufos,1989-02-24,0,2010-11,21,DEN,NBA,26:43,7,11,0,0,7,11,6,7,4,6,9,0,1,2,4,3,18,18.9
Josh Richardson,1993-09-15,0,2016-17,23,MIA,NBA,46:20,9,19,4,11,7,13,5,6,5,8,8,8,5,3,3,4,22,20.7
Josh Richardson,1993-09-15,0,2017-18,24,MIA,NBA,41:13,11,20,7,9,9,17,7,7,5,7,8,7,5,4,6,6,30,26.2
Josh Richardson,1993-09-15,0,2018-19,25,MIA,NBA,40:43,14,22,8,12,8,16,8,9,3,8,10,9,5,3,7,5,37,29.6
Glen Rice Jr.,1991-01-01,0,2014-15,24,WAS,NBA,15:18,1,5,1,3,1,3,2,3,1,1,2,1,0,0,2,5,5,1.5
Jason Richardson,1981-01-20,0,2010-11,30,TOT,NBA,45:11,15,29,7,11,8,21,10,10,5,8,10,5,4,1,4,5,39,34.8
Jason Richardson,1981-01-20,0,2010-11,30,PHO,NBA,43:12,15,29,7,10,8,21,10,10,5,6,10,3,4,1,3,5,39,34.8
Jason Richardson,1981-01-20,0,2010-11,30,ORL,NBA,45:11,10,20,7,11,6,10,5,6,2,8,9,5,4,1,4,5,30,21.7
Cameron Reynolds,1995-02-07,0,2020-21,25,TOT,NBA,31:01,3,14,3,12,2,2,0,0,2,2,4,2,0,0,0,2,9,3.7
Cameron Reynolds,1995-02-07,0,2020-21,25,SAS,NBA,2:22,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1.7
Cameron Reynolds,1995-02-07,0,2020-21,25,HOU,NBA,31:01,3,14,3,12,2,2,0,0,2,2,4,2,0,0,0,2,9,3.7
Kosta Koufos,1989-02-24,0,2011-12,22,DEN,NBA,33:37,7,11,0,0,7,11,4,6,6,9,14,2,5,4,5,6,16,16.2
Kosta Koufos,1989-02-24,0,2012-13,23,DEN,NBA,35:40,10,17,0,1,10,17,4,6,7,11,16,3,4,5,3,6,22,22.7
Kosta Koufos,1989-02-24,0,2013-14,24,MEM,NBA,39:47,7,13,0,0,7,13,7,9,9,11,16,3,2,4,4,6,17,15.2
Josh Richardson,1993-09-15,0,2019-20,26,PHI,NBA,40:28,13,20,6,11,8,13,10,10,3,7,7,8,4,3,7,5,34,28.0
Josh Richardson,1993-09-15,0,2020-21,27,DAL,NBA,41:16,10,16,5,8,9,11,7,8,4,6,7,8,4,2,5,6,27,23.8
Josh Richardson,1993-09-15,1,2015-16,22,MIA,NBA,34:41,5,11,3,5,3,6,3,4,2,5,5,3,1,2,2,5,15,11.5
Jason Richardson,1981-01-20,0,2011-12,31,ORL,NBA,42:12,11,18,9,11,6,11,5,8,3,7,9,5,3,3,4,4,31,24.7
Jason Richardson,1981-01-20,0,2012-13,32,PHI,NBA,41:36,9,17,5,9,6,9,3,4,2,8,9,7,5,3,2,4,22,20.2
Jason Richardson,1981-01-20,0,2014-15,34,PHI,NBA,35:32,8,19,4,9,4,10,9,9,3,7,7,5,2,1,3,4,29,23.0
Kosta Koufos,1989-02-24,0,2014-15,25,MEM,NBA,33:52,8,11,0,0,8,11,5,6,6,8,12,3,3,3,3,5,16,14.6
Kosta Koufos,1989-02-24,0,2015-16,26,SAC,NBA,37:45,8,16,0,0,8,16,6,7,8,8,15,2,3,4,2,6,19,18.8
Josh Richardson,1993-09-15,1,2017-18,24,MIA,NBA,35:02,5,12,4,7,4,8,3,3,3,5,5,7,7,3,4,4,14,17.2
Josh Richardson,1993-09-15,1,2019-20,26,PHI,NBA,41:40,7,17,3,11,4,9,8,9,2,6,6,5,2,2,3,5,18,13.2
Jason Richardson,1981-01-20,1,2009-10,29,PHO,NBA,37:07,13,19,8,12,7,11,8,10,3,8,10,3,3,1,3,4,42,39.5
Jason Richardson,1981-01-20,1,2010-11,30,ORL,NBA,41:14,6,14,3,6,3,8,4,4,2,7,9,4,2,1,2,4,17,
Kosta Koufos,1989-02-24,0,2016-17,27,SAC,NBA,37:10,8,12,0,1,8,12,3,6,7,10,13,3,3,3,4,6,18,16.9
