Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
Marcus Derrickson,1996-02-01,0,2018-19,22,GSW,NBA,PF,11,0,67,11.4,23.4,.485,7.1,14.2,.500,4.3,9.2,.462,2.8,3.6,.800,5.7,3.6,9.2,0.7,0.0,0.7,2.1,6.4,32.7,123,116
Ángel Delgado,1994-11-20,0,2018-19,24,LAC,NBA,C,2,0,15,3.1,15.7,.200,0.0,0.0,,3.1,15.7,.200,3.1,6.3,.500,6.3,6.3,12.6,0.0,3.1,0.0,0.0,6.3,9.4,78,109
Sam Dekker,1994-05-06,0,2015-16,21,HOU,NBA,PF,3,0,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,8.2,8.2,0.0,8.2,0.0,0.0,0.0,0.0,,95
Justin Dentmon,1985-09-05,0,2011-12,26,TOT,NBA,PG,6,0,91,5.9,16.4,.357,1.2,8.2,.143,4.7,8.2,.571,2.3,3.5,.667,0.0,4.7,4.7,5.9,1.2,0.0,4.1,5.9,15.2,82,107
Malcolm Delaney,1989-03-11,0,2016-17,27,ATL,NBA,PG,73,2,1248,5.7,15.3,.374,1.0,4.3,.236,4.7,11.0,.428,3.0,3.7,.806,0.4,4.5,4.9,7.6,1.5,0.0,3.8,4.4,15.4,92,109
Sam Dekker,1994-05-06,0,2016-17,22,HOU,NBA,PF,77,2,1419,6.9,14.5,.473,2.0,6.3,.321,4.8,8.2,.591,1.3,2.3,.559,3.2,6.4,9.6,2.6,1.3,0.7,1.4,2.8,17.0,115,110
Sam Dekker,1994-05-06,0,2017-18,23,LAC,NBA,PF,73,1,883,7.0,14.3,.494,0.6,3.3,.167,6.5,11.0,.593,2.0,3.1,.661,2.4,7.2,9.6,2.1,1.3,0.5,1.8,3.9,16.7,107,111
Justin Dentmon,1985-09-05,0,2011-12,26,SAS,NBA,PG,2,0,19,5.4,16.3,.333,0.0,10.9,.000,5.4,5.4,1.000,0.0,0.0,,0.0,2.7,2.7,2.7,2.7,0.0,2.7,5.4,10.9,67,105
Justin Dentmon,1985-09-05,0,2011-12,26,TOR,NBA,PG,4,0,72,6.0,16.4,.364,1.5,7.5,.200,4.5,9.0,.500,3.0,4.5,.667,0.0,5.2,5.2,6.7,0.7,0.0,4.5,6.0,16.4,85,108
Matthew Dellavedova,1990-09-08,0,2013-14,23,CLE,NBA,SG,72,4,1271,4.9,12.0,.412,2.3,6.3,.368,2.6,5.7,.461,1.5,1.9,.792,1.2,3.8,5.0,7.6,1.3,0.2,2.4,4.9,13.8,111,111
