Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Álex Abrines,1993-08-01,0,2016-17,23,OKC,NBA,SG,68,6,1055,4.6,11.6,.393,3.2,8.4,.381,1.4,3.2,.426,1.5,1.7,.898,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9
Álex Abrines,1993-08-01,0,2017-18,24,OKC,NBA,SG,75,8,1134,3.7,9.2,.395,2.7,7.0,.380,1.0,2.2,.443,1.2,1.5,.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2
Álex Abrines,1993-08-01,0,2018-19,25,OKC,NBA,SG,31,2,588,3.4,9.6,.357,2.5,7.8,.323,0.9,1.8,.500,0.7,0.8,.923,0.3,2.6,2.9,1.2,1.0,0.4,0.9,3.2,10.1
Álex Abrines,1993-08-01,1,2016-17,23,OKC,NBA,SG,5,0,80,3.6,10.4,.348,2.3,7.7,.294,1.4,2.7,.500,1.4,1.8,.750,0.9,3.2,4.1,1.8,0.0,0.0,0.0,3.6,10.8
Álex Abrines,1993-08-01,1,2017-18,24,OKC,NBA,SG,6,0,110,2.6,6.5,.400,2.0,4.3,.462,0.7,2.3,.286,0.7,0.7,1.000,1.0,4.3,5.2,0.7,1.6,0.7,0.3,3.6,7.9
Tahjere McCall,1994-08-17,0,2018-19,24,BRK,NBA,SG,1,0,8,9.0,13.5,.667,0.0,4.5,.000,9.0,9.0,1.000,0.0,4.5,.000,0.0,4.5,4.5,0.0,0.0,0.0,0.0,9.0,18.0
James Michael McAdoo,1993-01-04,0,2014-15,22,GSW,NBA,PF,15,0,137,6.3,11.6,.545,0.0,0.0,,6.3,11.6,.545,3.7,6.6,.560,3.9,5.8,9.7,0.5,1.3,2.4,1.6,5.5,16.3
Ray McCallum,1991-06-12,0,2013-14,22,SAC,NBA,PG,45,10,897,4.5,12.0,.377,0.9,2.4,.373,3.7,9.7,.378,1.3,1.7,.744,0.7,2.4,3.2,4.8,0.9,0.4,1.6,2.8,11.2
Skylar Mays,1997-09-05,0,2020-21,23,ATL,NBA,SG,33,0,269,5.9,13.1,.449,1.9,5.4,.350,4.0,7.8,.517,2.9,3.3,.880,1.3,3.3,4.7,4.0,1.9,0.3,1.2,2.0,16.6
James Michael McAdoo,1993-01-04,0,2015-16,23,GSW,NBA,PF,41,1,262,6.2,11.5,.536,0.1,0.3,.500,6.0,11.3,.537,3.6,6.7,.531,4.1,3.8,8.0,2.3,1.4,1.1,2.2,5.4,16.1
James Michael McAdoo,1993-01-04,0,2016-17,24,GSW,NBA,PF,52,2,457,4.9,9.2,.530,0.2,0.6,.250,4.7,8.6,.550,1.7,3.3,.500,2.7,4.5,7.2,1.4,1.4,2.3,1.5,3.7,11.6
Ray McCallum,1991-06-12,0,2014-15,23,SAC,NBA,PG,68,30,1436,5.2,11.8,.438,0.9,2.8,.306,4.3,9.0,.479,1.4,2.1,.679,1.3,3.2,4.5,4.7,1.1,0.3,2.1,2.3,12.6
Ray McCallum,1991-06-12,0,2015-16,24,TOT,NBA,PG,41,6,475,4.2,11.1,.377,1.1,3.2,.357,3.0,7.9,.385,0.9,1.1,.800,0.6,3.0,3.6,4.5,0.9,0.5,1.8,2.2,10.4
Ray McCallum,1991-06-12,0,2015-16,24,SAS,NBA,PG,31,3,256,3.8,9.4,.403,0.7,2.3,.313,3.1,7.2,.431,1.3,1.4,.900,0.8,3.5,4.4,4.6,0.7,0.6,1.5,2.0,9.6
O.J. Mayo,1987-11-05,0,2009-10,22,MEM,NBA,SG,82,82,3113,6.3,13.7,.458,1.6,4.1,.383,4.7,9.6,.490,2.5,3.0,.809,0.7,2.9,3.6,2.8,1.1,0.2,2.0,2.0,16.6
Eric Maynor,1987-06-11,0,2009-10,22,TOT,NBA,PG,81,2,1269,4.4,10.4,.418,0.6,2.0,.310,3.7,8.4,.444,1.5,2.0,.722,0.6,3.1,3.7,7.5,1.1,0.3,2.4,3.3,10.8
Skylar Mays,1997-09-05,1,2020-21,23,ATL,NBA,SG,7,0,17,8.5,10.6,.800,0.0,0.0,,8.5,10.6,.800,0.0,0.0,,0.0,4.2,4.2,2.1,4.2,0.0,2.1,2.1,16.9
Luc Mbah a Moute,1986-09-09,0,2009-10,23,MIL,NBA,PF,73,62,1866,3.4,7.1,.480,0.1,0.3,.353,3.3,6.8,.486,1.8,2.6,.699,3.3,4.4,7.7,1.6,1.2,0.8,1.4,3.5,8.7
Sean May,1984-04-04,0,2009-10,25,SAC,NBA,C,37,4,331,5.5,12.1,.459,0.0,0.4,.000,5.5,11.6,.477,2.3,3.5,.656,2.2,5.4,7.6,1.8,1.3,0.8,2.1,5.0,13.4
Tyrese Maxey,2000-11-04,0,2020-21,20,PHI,NBA,SG,61,8,935,7.6,16.5,.462,1.2,4.0,.301,6.4,12.6,.512,2.3,2.7,.871,0.4,3.6,4.0,4.6,1.0,0.5,1.6,3.0,18.8
Dakota Mathias,1995-07-11,0,2020-21,25,PHI,NBA,SG,8,2,123,5.6,14.0,.396,2.3,7.6,.308,3.2,6.4,.500,0.6,1.8,.333,0.3,1.8,2.0,3.8,0.3,0.9,0.3,2.0,14.0
James Michael McAdoo,1993-01-04,0,2017-18,25,PHI,NBA,PF,3,0,18,4.0,14.0,.286,4.0,14.0,.286,0.0,0.0,,4.0,4.0,1.000,0.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,16.0
James Michael McAdoo,1993-01-04,1,2014-15,22,GSW,NBA,PF,5,0,10,7.2,10.8,.667,0.0,0.0,,7.2,10.8,.667,0.0,0.0,,3.6,10.8,14.4,0.0,0.0,3.6,3.6,0.0,14.4
James Michael McAdoo,1993-01-04,1,2015-16,23,GSW,NBA,PF,8,0,38,1.9,3.8,.500,0.0,0.0,,1.9,3.8,.500,0.9,3.8,.250,0.0,7.6,7.6,1.9,2.8,1.9,0.9,5.7,4.7
Ray McCallum,1991-06-12,0,2015-16,24,MEM,NBA,PG,10,3,219,4.6,13.0,.354,1.6,4.3,.385,3.0,8.7,.340,0.5,0.8,.600,0.3,2.3,2.6,4.4,1.2,0.5,2.1,2.5,11.3
O.J. Mayo,1987-11-05,0,2010-11,23,MEM,NBA,SG,71,17,1869,5.9,14.4,.407,1.8,5.1,.364,4.0,9.3,.431,1.9,2.5,.756,0.7,2.6,3.3,2.8,1.4,0.5,1.9,2.4,15.5
O.J. Mayo,1987-11-05,0,2011-12,24,MEM,NBA,SG,66,0,1771,6.1,15.0,.408,2.0,5.6,.364,4.1,9.4,.434,2.7,3.5,.773,0.6,3.7,4.3,3.4,1.4,0.5,2.5,2.8,16.9
Eric Maynor,1987-06-11,0,2009-10,22,UTA,NBA,PG,26,2,363,5.2,13.2,.391,0.5,2.4,.208,4.7,10.8,.431,2.5,3.3,.758,1.0,2.8,3.8,8.0,1.3,0.2,2.8,3.3,13.3
Eric Maynor,1987-06-11,0,2009-10,22,OKC,NBA,PG,55,0,906,4.1,9.3,.434,0.7,1.9,.362,3.4,7.5,.452,1.1,1.5,.692,0.4,3.2,3.6,7.4,1.1,0.3,2.3,3.3,9.9
