Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCount,On-Off,BadPass,LostBall,FoulShooting,FoulOffensive,DrawnShooting,DrawnOffensive,PGA,And1,Blkd
Ryan Reid,1986-10-30,0,2011-12,25,OKC,NBA,PF,5,17,,,,97%,3%,+13.2,+6.5,1,0,1,0,0,0,0,0,0
Jay Scrubb,2000-09-01,0,2020-21,20,LAC,NBA,SG,4,84,,11%,75%,13%,,+1.2,-5.5,3,1,2,0,2,2,2,1,4
Admiral Schofield,1997-03-30,0,2019-20,22,WAS,NBA,PF,33,368,,,28%,65%,7%,-7.6,-3.4,2,3,25,1,5,4,33,0,4
Jay Scrubb,2000-09-01,1,2020-21,20,LAC,NBA,SG,6,8,,,99%,2%,,-51.2,-56.2,0,0,0,0,0,0,0,0,0
Mike Scott,1988-07-16,0,2012-13,24,ATL,NBA,PF,40,376,,,9%,45%,46%,-6.4,-7.7,11,5,20,2,26,1,30,2,15
Luis Scola,1980-04-30,0,2009-10,29,HOU,NBA,PF,82,2671,,,,88%,12%,-1.8,-3.8,54,53,89,28,113,41,415,25,75
Dennis Schröder,1993-09-15,0,2013-14,20,ATL,NBA,PG,49,641,100%,,,,,-15.0,-17.4,38,9,17,4,18,4,210,5,15
Naz Reid,1999-08-26,0,2019-20,20,MIN,NBA,C,30,495,,,,3%,97%,-0.5,+4.9,6,7,54,4,30,4,87,8,16
Willie Reed,1990-05-16,0,2015-16,25,BRK,NBA,C,39,426,,,,71%,29%,-8.2,-0.7,4,8,26,3,28,4,23,5,8
Paul Reed,1999-06-14,0,2020-21,21,PHI,NBA,PF,26,177,,,8%,54%,38%,+9.7,+4.3,3,5,14,1,4,0,29,2,11
Davon Reed,1995-06-11,0,2017-18,22,PHO,NBA,SG,21,242,2%,63%,35%,,,-16.6,-7.4,2,5,11,1,6,1,30,0,7
Mike Scott,1988-07-16,0,2013-14,25,ATL,NBA,PF,80,1482,,,7%,90%,3%,-6.2,-9.4,28,29,56,15,66,3,177,18,27
Mike Scott,1988-07-16,0,2014-15,26,ATL,NBA,PF,68,1123,,,2%,97%,,+1.2,-6.5,14,11,48,7,37,1,183,6,16
Mike Scott,1988-07-16,0,2015-16,27,ATL,NBA,PF,75,1146,,,3%,96%,1%,+5.2,+2.1,18,11,46,6,32,4,183,5,12
Luis Scola,1980-04-30,0,2010-11,30,HOU,NBA,PF,74,2412,,,,94%,6%,+4.0,+4.7,50,45,91,32,108,19,446,17,77
Luis Scola,1980-04-30,0,2011-12,31,HOU,NBA,PF,66,2067,,,,72%,28%,+1.4,+2.9,50,53,76,27,80,10,332,12,69
Luis Scola,1980-04-30,0,2012-13,32,PHO,NBA,PF,82,2184,,,,91%,9%,-5.6,+3.2,50,37,96,20,96,12,410,23,53
Dennis Schröder,1993-09-15,0,2014-15,21,ATL,NBA,PG,77,1516,100%,,,,,+0.7,-8.2,86,44,52,11,65,5,761,11,74
Dennis Schröder,1993-09-15,0,2015-16,22,ATL,NBA,PG,80,1621,100%,,,,,+7.2,+5.9,111,45,51,13,72,7,834,16,68
Dennis Schröder,1993-09-15,0,2016-17,23,ATL,NBA,PG,79,2485,100%,,,,,-2.1,-2.4,155,66,63,14,100,18,1164,25,113
Naz Reid,1999-08-26,0,2020-21,21,MIN,NBA,C,70,1347,,,,12%,88%,-10.7,-8.7,22,27,116,12,89,15,177,24,31
Willie Reed,1990-05-16,0,2016-17,26,MIA,NBA,C,71,1031,,,,,100%,+2.4,+1.7,9,8,81,7,40,9,61,6,23
Willie Reed,1990-05-16,0,2017-18,27,TOT,NBA,C,42,428,,,,,100%,+1.8,+1.7,6,6,34,5,24,2,22,5,14
Willie Reed,1990-05-16,0,2017-18,27,LAC,NBA,C,39,419,,,,,100%,+2.1,+2.0,6,6,33,4,24,1,20,5,14
