Name,Position,Height,Weight,Born,Recruiting_rank,Draft_team,Experience,Career_length
Álex Abrines,Shooting Guard ▪ Shoots: Right,6-6,200lb,1993-08-01,,Oklahoma City Thunder,3 years,
Maurice Ager,Shooting Guard ▪ Shoots: Right,6-5,202lb,1984-02-09,2002 (54),Dallas Mavericks,,4 years
Jeff Adrien,Power Forward ▪ Shoots: Right,6-7,245lb,1986-02-10,2005 (53),,,5 years
Deng Adel,Small Forward ▪ Shoots: Right,6-7,200lb,1997-02-01,2015 (34),,1 year,
Bam Adebayo,Center and Power Forward ▪ Shoots: Right,6-9,255lb,1997-07-18,2016 (8),Miami Heat,4 years,
Jordan Adams,Shooting Guard ▪ Shoots: Right,6-5,209lb,1994-07-08,2012 (59),Memphis Grizzlies,,2 years
Jaylen Adams,Point Guard ▪ Shoots: Right,6-0,225lb,1996-05-04,,,3 years,
Hassan Adams,Shooting Guard ▪ Shoots: Right,6-4,220lb,1984-06-20,2002 (20),New Jersey Nets,,2 years
Arron Afflalo,Shooting Guard and Small Forward ▪ Shoots: Right,6-5,210lb,1985-10-15,2004 (26),Detroit Pistons,,11 years
Steven Adams,Center ▪ Shoots: Right,6-11,265lb,1993-07-20,2012 (5),Oklahoma City Thunder,8 years,
Jeremy Tyler,Center ▪ Shoots: Right,6-10,260lb,1991-06-21,,Charlotte Bobcats,,3 years
Alando Tucker,Small Forward and Shooting Guard ▪ Shoots: Right,6-6,205lb,1984-02-11,,Phoenix Suns,,3 years
Rayjon Tucker,Shooting Guard and Point Guard ▪ Shoots: Right,6-3,209lb,1997-09-24,,,2 years,
P.J. Tucker,"Power Forward, Small Forward, and Shooting Guard ▪ Shoots: Right",6-5,245lb,1985-05-05,2003 (79),Toronto Raptors,10 years,
Myles Turner,Center ▪ Shoots: Right,6-11,250lb,1996-03-24,2014 (6),Indiana Pacers,6 years,
Evan Turner,"Small Forward, Shooting Guard, and Point Guard ▪ Shoots: Right",6-6,220lb,1988-10-27,2007 (52),Philadelphia 76ers,,10 years
Hedo Türkoğlu,Small Forward and Power Forward ▪ Shoots: Right,6-10,220lb,1979-03-19,,Sacramento Kings,,15 years
Ronny Turiaf,Center ▪ Shoots: Right,6-10,249lb,1983-01-13,,Los Angeles Lakers,,10 years
Allonzo Trier,Shooting Guard ▪ Shoots: Right,6-4,200lb,1996-01-17,2015 (12),,2 years,
Gary Trent Jr.,Shooting Guard and Small Forward ▪ Shoots: Right,6-5,209lb,1999-01-18,2017 (14),Sacramento Kings,3 years,
Jonah Bolden,Center and Power Forward ▪ Shoots: Right,6-8,220lb,1996-01-02,2014 (36),Philadelphia 76ers,2 years,
Bol Bol,Power Forward ▪ Shoots: Right,7-2,220lb,1999-11-16,2018 (6),Miami Heat,2 years,
Bogdan Bogdanović,Shooting Guard ▪ Shoots: Right,6-6,220lb,1992-08-18,,Phoenix Suns,4 years,
Jarrell Brantley,Power Forward ▪ Shoots: Right,6-5,250lb,1996-06-07,,Indiana Pacers,2 years,
Andrew Bogut,Center and Power Forward ▪ Shoots: Right,7-0,260lb,1984-11-28,,Milwaukee Bucks,,14 years
Bojan Bogdanović,Small Forward and Power Forward ▪ Shoots: Right,6-7,226lb,1989-04-18,,Miami Heat,7 years,
Keith Bogans,Shooting Guard and Small Forward ▪ Shoots: Right,6-5,215lb,1980-05-12,1999 (2),Milwaukee Bucks,,11 years
Elton Brand,Power Forward and Center ▪ Shoots: Right,6-8,275lb,1979-03-11,,Chicago Bulls,,17 years
Tony Bradley,Center ▪ Shoots: Right,6-10,248lb,1998-01-08,2016 (19),Los Angeles Lakers,4 years,
Džanan Musa,Small Forward and Shooting Guard ▪ Shoots: Right,6-9,217lb,1999-05-08,,Brooklyn Nets,2 years,
Tony Wroten,Point Guard and Shooting Guard ▪ Shoots: Left,6-6,205lb,1993-04-13,2011 (18),Memphis Grizzlies,,4 years
Svi Mykhailiuk,Small Forward and Shooting Guard ▪ Shoots: Right,6-7,205lb,1997-06-10,2014 (95),Los Angeles Lakers,3 years,
Mike Muscala,Center and Power Forward ▪ Shoots: Right,6-10,240lb,1991-07-01,,Dallas Mavericks,8 years,
Toure' Murry,Point Guard and Shooting Guard ▪ Shoots: Right,6-5,195lb,1989-11-08,,,,2 years
Ronald Murray,Shooting Guard and Point Guard ▪ Shoots: Right,6-4,190lb,1979-07-29,,Milwaukee Bucks,,8 years
Jamal Murray,Point Guard and Shooting Guard ▪ Shoots: Right,6-3,215lb,1997-02-23,2015 (71),Denver Nuggets,5 years,
Dikembe Mutombo,Center ▪ Shoots: Right,7-2,245lb,1966-06-25,,Denver Nuggets,,18 years
Dejounte Murray,Point Guard ▪ Shoots: Right,6-4,180lb,1996-09-19,2015 (45),San Antonio Spurs,4 years,
Kevin Murphy,Shooting Guard ▪ Shoots: Right,6-5,185lb,1990-03-06,,Utah Jazz,,1 year
Erik Murphy,Center ▪ Shoots: Right,6-10,230lb,1990-10-26,2009 (43),Chicago Bulls,,1 year
Troy Murphy,Power Forward ▪ Shoots: Left,6-11,245lb,1980-05-02,1998 (46),Golden State Warriors,,12 years
Xavier Munford,Shooting Guard ▪ Shoots: Right,6-2,180lb,1992-06-01,,,,2 years
Trey Murphy III,Small Forward ▪ Shoots: Right,6-9,206lb,2000-06-18,,Memphis Grizzlies,Rookie,
Ade Murkey,Shooting Guard ▪ Shoots: Right,6-5,200lb,1998-01-29,,,Rookie,
Byron Mullens,Center and Power Forward ▪ Shoots: Right,7-0,275lb,1989-02-14,2008 (8),Dallas Mavericks,,5 years
Will Bynum,Point Guard and Shooting Guard ▪ Shoots: Right,6-0,185lb,1983-01-04,2001 (53),,,8 years
Derrick Byars,Power Forward ▪ Shoots: Right,6-7,220lb,1984-04-25,2002 (58),Portland Trail Blazers,,1 year
Dwight Buycks,Point Guard ▪ Shoots: Right,6-3,190lb,1989-03-06,,,,3 years
Andrew Bynum,Center ▪ Shoots: Right,7-0,285lb,1987-10-27,2005 (10),Los Angeles Lakers,,8 years
Jared Butler,Shooting Guard ▪ Shoots: Right,6-3,195lb,2000-08-25,2018 (95),New Orleans Pelicans,Rookie,
Rasual Butler,Small Forward and Shooting Guard ▪ Shoots: Right,6-7,215lb,1979-05-23,1998 (37),Miami Heat,,13 years
Jimmy Butler,Small Forward and Shooting Guard ▪ Shoots: Right,6-7,230lb,1989-09-14,,Chicago Bulls,10 years,
