Name,Born,Year,Age,Team,Lg,Round,W/L,Opp,G,W,L,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP_PerG,PTS_PerG,TRB_PerG,AST_PerG
Hakim Warrick,1982-07-08,2010,27,CHI,2010,,L,CLE,3,0,3,31,2,11,0,1,5,6,3,5,0,0,0,2,3,9,.182,.000,.833,10.3,3.0,1.7,0.0
T.J. Warren,1993-09-05,2020,26,IND,2020,,L,MIA,4,0,4,156,32,68,7,19,9,9,5,25,12,9,1,11,16,80,.471,.368,1.000,39.1,20.0,6.3,3.0
Brad Wanamaker,1989-07-25,2019,29,BOS,2019,,W,IND,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,,,3.3,0.0,0.0,0.0
Luke Walton,1980-03-28,2009,28,LAL,2009,,W,UTA,4,3,1,49,7,17,2,3,3,4,6,10,11,4,0,3,5,19,.412,.667,.750,12.2,4.8,2.5,2.8
Tyrone Wallace,1994-06-10,2019,24,LAC,2019,,L,GSW,2,0,2,11,1,4,0,0,2,3,0,1,3,0,0,1,2,4,.250,,.667,5.5,2.0,0.5,1.5
Brad Wanamaker,1989-07-25,2019,29,BOS,2019,,L,MIL,3,1,2,14,3,6,1,1,3,4,0,1,3,1,0,1,0,10,.500,1.000,.750,4.6,3.3,0.3,1.0
Brad Wanamaker,1989-07-25,2020,30,BOS,2020,,W,PHI,4,4,0,69,7,15,2,3,2,2,1,10,10,3,2,4,8,18,.467,.667,1.000,17.4,4.5,2.5,2.5
Luke Walton,1980-03-28,2009,28,LAL,2009,,W,HOU,6,4,2,108,7,24,2,7,5,6,2,17,11,5,0,6,12,21,.292,.286,.833,17.9,3.5,2.8,1.8
Luke Walton,1980-03-28,2009,28,LAL,2009,,W,DEN,6,4,2,99,10,24,1,5,0,2,5,15,18,4,3,9,15,21,.417,.200,.000,16.5,3.5,2.5,3.0
Ognjen Kuzmić,1990-05-16,2014,23,GSW,2014,,L,LAC,3,2,1,8,0,0,0,0,0,0,1,4,0,0,0,0,2,0,,,,2.6,0.0,1.3,0.0
Rasheed Wallace,1974-09-17,2009,34,DET,2009,,L,CLE,4,0,4,122,11,30,4,8,0,0,2,25,3,2,1,3,12,26,.367,.500,,30.5,6.5,6.3,0.8
Gerald Wallace,1982-07-23,2010,27,CHA,2010,,L,ORL,4,0,4,164,21,44,5,11,23,35,2,36,9,5,6,3,9,70,.477,.455,.657,40.9,17.5,9.0,2.3
