Name,Born,Season,Team,Lg,Salary
Brodric Thomas,1997-01-28,2020-21,Cleveland Cavaliers,NBA,< Minimum
Ante Žižić,1997-01-04,2017-18,Cleveland Cavaliers,NBA,1645200
Paul Zipser,1994-02-18,2016-17,Chicago Bulls,NBA,750000
Ante Žižić,1997-01-04,2018-19,Cleveland Cavaliers,NBA,1952760
Ante Žižić,1997-01-04,2019-20,Cleveland Cavaliers,NBA,2281800
Ivica Zubac,1997-03-18,2016-17,Los Angeles Lakers,NBA,1034956
Kenny Thomas,1977-07-25,2009-10,Sacramento Kings,NBA,8775000
Paul Zipser,1994-02-18,2017-18,Chicago Bulls,NBA,1312611
Isaiah Thomas,1989-02-07,2011-12,Sacramento Kings,NBA,473604
Etan Thomas,1978-04-01,2009-10,Oklahoma City Thunder,NBA,7350000
Adonis Thomas,1993-03-25,2015-16,Detroit Pistons,NBA,60000
Ivica Zubac,1997-03-18,2017-18,Los Angeles Lakers,NBA,1312611
Ivica Zubac,1997-03-18,2018-19,Los Angeles Clippers,NBA,1544951
Ivica Zubac,1997-03-18,2019-20,Los Angeles Clippers,NBA,6481482
Ivica Zubac,1997-03-18,2020-21,Los Angeles Clippers,NBA,7000000
Isaiah Thomas,1989-02-07,2012-13,Sacramento Kings,NBA,762195
Isaiah Thomas,1989-02-07,2013-14,Sacramento Kings,NBA,884293
Isaiah Thomas,1989-02-07,2014-15,Boston Celtics,NBA,7238606
Isaiah Thomas,1989-02-07,2015-16,Boston Celtics,NBA,6912869
Isaiah Thomas,1989-02-07,2016-17,Boston Celtics,NBA,6587132
Isaiah Thomas,1989-02-07,2017-18,Los Angeles Lakers,NBA,6261395
Isaiah Thomas,1989-02-07,2018-19,Denver Nuggets,NBA,2029463
Isaiah Thomas,1989-02-07,2019-20,Los Angeles Clippers,NBA,2320044
Isaiah Thomas,1989-02-07,2020-21,New Orleans Pelicans,NBA,158907
Etan Thomas,1978-04-01,2010-11,Atlanta Hawks,NBA,1223166
Tyrell Terry,2000-09-28,2020-21,Dallas Mavericks,NBA,1289846
Daniel Theis,1992-04-04,2017-18,Boston Celtics,NBA,815615
Hasheem Thabeet,1987-02-16,2009-10,Memphis Grizzlies,NBA,4458840
Emanuel Terry,1996-08-21,2018-19,Miami Heat,NBA,47371
Jared Terrell,1995-02-10,2018-19,Minnesota Timberwolves,NBA,< Minimum
Daniel Theis,1992-04-04,2018-19,Boston Celtics,NBA,1378242
Daniel Theis,1992-04-04,2019-20,Boston Celtics,NBA,5000000
Daniel Theis,1992-04-04,2020-21,Chicago Bulls,NBA,5000000
Hasheem Thabeet,1987-02-16,2010-11,Houston Rockets,NBA,4793280
Hasheem Thabeet,1987-02-16,2011-12,Houston Rockets,NBA,5127720
Hasheem Thabeet,1987-02-16,2012-13,Oklahoma City Thunder,NBA,1200000
Hasheem Thabeet,1987-02-16,2013-14,Oklahoma City Thunder,NBA,1200000
Emanuel Terry,1996-08-21,2018-19,Phoenix Suns,NBA,47371
Emanuel Terry,1996-08-21,2018-19,Denver Nuggets,NBA,35000
Chris Silva,1996-09-19,2019-20,Miami Heat,NBA,466918
Jason Terry,1977-09-15,2009-10,Dallas Mavericks,NBA,9862500
Garret Siler,1986-10-25,2010-11,Phoenix Suns,NBA,473640
Xavier Silas,1988-01-22,2017-18,Boston Celtics,NBA,74159
Jordan Sibert,1992-08-01,2015-16,Orlando Magic,NBA,100000
Chris Silva,1996-09-19,2020-21,Sacramento Kings,NBA,1517981
Jason Terry,1977-09-15,2010-11,Dallas Mavericks,NBA,10650000
Jason Terry,1977-09-15,2011-12,Dallas Mavericks,NBA,11158000
Jason Terry,1977-09-15,2012-13,Boston Celtics,NBA,5000000
Jason Terry,1977-09-15,2013-14,Brooklyn Nets,NBA,5625313
Jason Terry,1977-09-15,2014-15,Houston Rockets,NBA,5850313
Jason Terry,1977-09-15,2015-16,Houston Rockets,NBA,1499187
Jason Terry,1977-09-15,2016-17,Milwaukee Bucks,NBA,1551659
Jason Terry,1977-09-15,2017-18,Milwaukee Bucks,NBA,1471382
Garret Siler,1986-10-25,2011-12,Phoenix Suns,NBA,51097
Jordan Sibert,1992-08-01,2018-19,Atlanta Hawks,NBA,47371
Jarnell Stokes,1994-01-07,2014-15,Memphis Grizzlies,NBA,725000
Jarnell Stokes,1994-01-07,2015-16,New Orleans Pelicans,NBA,845059
Jarnell Stokes,1994-01-07,2016-17,Denver Nuggets,NBA,150000
Julyan Stone,1988-12-07,2011-12,Denver Nuggets,NBA,473604
Max Strus,1996-03-28,2019-20,Boston Celtics,NBA,415414
Diamond Stone,1997-02-10,2016-17,Los Angeles Clippers,NBA,543471
Amar'e Stoudemire,1982-11-16,2009-10,Phoenix Suns,NBA,16378325
Peja Stojaković,1977-06-09,2009-10,New Orleans Hornets,NBA,13392000
Rodney Stuckey,1986-04-21,2009-10,Detroit Pistons,NBA,1805040
Julyan Stone,1988-12-07,2012-13,Denver Nuggets,NBA,762195
Julyan Stone,1988-12-07,2016-17,Indiana Pacers,NBA,50000
Julyan Stone,1988-12-07,2017-18,Charlotte Hornets,NBA,1524305
Max Strus,1996-03-28,2019-20,Chicago Bulls,NBA,< Minimum
Max Strus,1996-03-28,2020-21,Miami Heat,NBA,< Minimum
David Stockton,1991-06-24,2014-15,Sacramento Kings,NBA,29843
Greg Stiemsma,1985-09-26,2011-12,Boston Celtics,NBA,762195
Tony Wroten,1993-04-13,2012-13,Memphis Grizzlies,NBA,1110120
Diamond Stone,1997-02-10,2017-18,Atlanta Hawks,NBA,1312611
Diamond Stone,1997-02-10,2017-18,Chicago Bulls,NBA,50000
