Name,Born,Is_playoff,Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist,2P_FGA,0-3_FGA,3-10_FGA,10-16_FGA,16-3P_FGA,3P_FGA,2P_FG,0-3_FG,3-10_FG,10-16_FG,16-3P_FG,3P_FG,2P_AST,3P_AST,FGA_DUNK,FG_DUNK,FG3A_Corner3,FG_Corner3,FG3A_Heave,FG3_heave
Álex Abrines,1993-08-01,0,2016-17,23,OKC,NBA,SG,68,1055,.393,20.6,.276,.120,.047,.044,.065,.724,.426,.488,.438,.333,.364,.381,.600,.968,.015,5,.231,.404,2,0
Álex Abrines,1993-08-01,0,2017-18,24,OKC,NBA,SG,75,1134,.395,20.3,.241,.127,.041,.027,.041,.759,.443,.595,.250,.625,.083,.380,.548,1.000,.034,9,.253,.375,1,0
Álex Abrines,1993-08-01,0,2018-19,25,OKC,NBA,SG,31,588,.357,22.3,.191,.102,.025,.019,.045,.809,.500,.500,.500,.333,.571,.323,.800,.951,.006,1,.205,.385,2,0
Álex Abrines,1993-08-01,1,2016-17,23,OKC,NBA,SG,5,80,.348,20.2,.261,.217,.000,.000,.043,.739,.500,.400,,,1.000,.294,.667,1.000,.043,0,.176,.667,1,0
Álex Abrines,1993-08-01,1,2017-18,24,OKC,NBA,SG,6,110,.400,19.1,.350,.150,.050,.000,.150,.650,.286,.333,.000,,.333,.462,.000,.833,.000,0,.308,.750,0,0
Anthony Gill,1992-10-17,0,2020-21,28,WAS,NBA,PF,26,218,.500,12.4,.600,.267,.317,.000,.017,.400,.639,.813,.526,,.000,.292,.783,.857,.050,2,.375,.111,0,0
Shai Gilgeous-Alexander,1998-07-12,0,2018-19,20,LAC,NBA,PG,82,2174,.476,11.2,.806,.314,.161,.222,.109,.194,.503,.631,.417,.415,.436,.367,.310,.902,.028,19,.460,.406,1,0
Mickell Gladness,1986-07-26,0,2011-12,25,TOT,NBA,PF,26,252,.424,6.7,1.000,.441,.220,.237,.102,.000,.424,.538,.308,.357,.333,,.760,,.169,8,,,0,0
Harry Giles,1998-04-22,0,2018-19,20,SAC,NBA,PF,58,820,.503,7.1,.983,.394,.325,.161,.103,.017,.512,.686,.416,.393,.333,.000,.651,,.124,37,.333,.000,1,0
Freddie Gillespie,1997-06-14,0,2020-21,23,TOR,NBA,PF,20,392,.524,4.5,1.000,.476,.405,.119,.000,.000,.524,.675,.412,.300,,,.682,,.167,12,,,0,0
Anthony Gill,1992-10-17,1,2020-21,28,WAS,NBA,PF,4,33,.000,11.2,.667,.000,.667,.000,.000,.333,.000,,.000,,,.000,,,.000,0,.000,,0,0
Shai Gilgeous-Alexander,1998-07-12,0,2019-20,21,OKC,NBA,SG,70,2428,.471,11.4,.753,.286,.263,.136,.068,.247,.512,.617,.404,.500,.507,.347,.235,.540,.019,19,.127,.438,0,0
Shai Gilgeous-Alexander,1998-07-12,0,2020-21,22,OKC,NBA,SG,35,1180,.508,11.6,.699,.333,.225,.097,.044,.301,.547,.633,.528,.382,.360,.418,.074,.296,.018,10,.076,.462,0,0
Mickell Gladness,1986-07-26,0,2011-12,25,MIA,NBA,PF,8,28,.333,8.4,1.000,.333,.000,.667,.000,.000,.333,.000,,.500,,,1.000,,.000,0,,,0,0
Mickell Gladness,1986-07-26,0,2011-12,25,GSW,NBA,PF,18,224,.429,6.6,1.000,.446,.232,.214,.107,.000,.429,.560,.308,.333,.333,,.750,,.179,8,,,0,0
Rudy Gobert,1992-06-26,0,2013-14,21,UTA,NBA,C,45,434,.486,2.4,1.000,.784,.203,.014,.000,.000,.486,.586,.133,.000,,,.667,,.216,14,,,0,0
Harry Giles,1998-04-22,0,2019-20,21,SAC,NBA,C,46,667,.554,7.6,.992,.402,.259,.167,.163,.008,.558,.802,.369,.429,.390,.000,.748,,.171,38,.500,.000,0,0
