Team,Season,No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
Atlanta Hawks,2009-10,10,Mike Bibby,PG,6-1,190,"May 13, 1978",11,Arizona
Atlanta Hawks,2009-10,34,Jason Collins,C,7-0,255,"December 2, 1978",8,Stanford
Atlanta Hawks,2009-10,11,Jamal Crawford,SG,6-5,185,"March 20, 1980",9,Michigan
Atlanta Hawks,2009-10,1,Maurice Evans,SF,6-5,220,"November 8, 1978",6,Wichita State
Atlanta Hawks,2009-10,15,Al Horford,C,6-9,240,"June 3, 1986",2,Florida
Atlanta Hawks,2009-10,50,Othello Hunter,SF,6-8,225,"May 28, 1986",1,Ohio State
Atlanta Hawks,2009-10,2,Joe Johnson,SG,6-7,240,"June 29, 1981",8,Arkansas
Atlanta Hawks,2009-10,33,Randolph Morris,PF,6-10,266,"January 2, 1986",3,Kentucky
Atlanta Hawks,2009-10,27,Zaza Pachulia,C,6-11,270,"February 10, 1984",6,
Atlanta Hawks,2009-10,32,Joe Smith,PF,6-10,225,"July 26, 1975",14,Maryland
Atlanta Hawks,2009-10,5,Josh Smith,PF,6-9,225,"December 5, 1985",5,
Atlanta Hawks,2009-10,0,Jeff Teague,PG,6-3,195,"June 10, 1988",R,Wake Forest
Atlanta Hawks,2009-10,6,Mario West,SG,6-5,210,"June 19, 1984",2,Georgia Tech
Atlanta Hawks,2009-10,24,Marvin Williams,SF,6-8,237,"June 19, 1986",4,UNC
Washington Wizards,2009-10,0,Gilbert Arenas,PG,6-4,191,"January 6, 1982",8,Arizona
Washington Wizards,2009-10,7,Andray Blatche,PF,6-11,235,"August 22, 1986",4,
Washington Wizards,2009-10,12,Earl Boykins,PG,5-5,135,"June 2, 1976",10,Eastern Michigan
Washington Wizards,2009-10,3,Caron Butler,SF,6-7,228,"March 13, 1980",7,UConn
Washington Wizards,2009-10,9,Paul Davis,PF,6-11,270,"July 21, 1984",3,Michigan State
Washington Wizards,2009-10,15,Randy Foye,PG,6-4,213,"September 24, 1983",3,Villanova
Washington Wizards,2009-10,24,Alonzo Gee,SG,6-6,225,"May 29, 1987",R,Alabama
