name,Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS
Atlanta Hawks,2020-21,NBA,Atlanta Hawks,41,31,.569,1st of 5,2.14,97.6,-1.6,115.7,3.4,113.3,1.0,Lost E. Conf. Finals,L. Pierce,C. Capela
Atlanta Hawks,2019-20,NBA,Atlanta Hawks,20,47,.299,5th of 5,-7.71,103.0,2.7,107.2,-3.4,114.8,4.2,,L. Pierce,T. Young
Atlanta Hawks,2018-19,NBA,Atlanta Hawks,29,53,.354,5th of 5,-6.06,103.9,3.9,108.1,-2.3,113.9,3.5,,L. Pierce,J. Collins
Atlanta Hawks,2017-18,NBA,Atlanta Hawks,24,58,.293,5th of 5,-5.30,98.3,1.0,105.0,-3.6,110.6,2.0,,M. Budenholzer,J. Collins
Atlanta Hawks,2016-17,NBA,Atlanta Hawks,43,39,.524,2nd of 5,-1.23,97.4,1.0,104.9,-3.9,105.7,-3.1,Lost E. Conf. 1st Rnd.,M. Budenholzer,D. Howard
Atlanta Hawks,2015-16,NBA,Atlanta Hawks,48,34,.585,2nd of 5,3.49,97.1,1.3,105.1,-1.3,101.4,-5.0,Lost E. Conf. Semis,M. Budenholzer,P. Millsap
Atlanta Hawks,2014-15,NBA,Atlanta Hawks,60,22,.732,1st of 5,4.75,93.9,0.0,108.9,3.3,103.1,-2.5,Lost E. Conf. Finals,M. Budenholzer,A. Horford
Atlanta Hawks,2013-14,NBA,Atlanta Hawks,38,44,.463,4th of 5,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3,Lost E. Conf. 1st Rnd.,M. Budenholzer,P. Millsap
Atlanta Hawks,2012-13,NBA,Atlanta Hawks,44,38,.537,2nd of 5,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5,Lost E. Conf. 1st Rnd.,L. Drew,A. Horford
Atlanta Hawks,2011-12,NBA,Atlanta Hawks,40,26,.606,2nd of 5,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,Lost E. Conf. 1st Rnd.,L. Drew,J. Smith
Atlanta Hawks,2010-11,NBA,Atlanta Hawks,44,38,.537,3rd of 5,-1.10,89.3,-2.8,106.1,-1.2,107.0,-0.3,Lost E. Conf. Semis,L. Drew,A. Horford
Atlanta Hawks,2009-10,NBA,Atlanta Hawks,53,29,.646,2nd of 5,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,Lost E. Conf. Semis,M. Woodson,A. Horford
Washington Wizards,2020-21,NBA,Washington Wizards,34,38,.472,3rd of 5,-1.85,104.1,4.9,111.2,-1.1,113.0,0.7,Lost E. Conf. 1st Rnd.,S. Brooks,B. Beal
Washington Wizards,2019-20,NBA,Washington Wizards,25,47,.347,4th of 5,-5.24,102.7,2.4,110.9,0.3,115.5,4.9,,S. Brooks,B. Beal
Washington Wizards,2018-19,NBA,Washington Wizards,32,50,.390,4th of 5,-3.30,101.4,1.4,111.1,0.7,113.9,3.5,,S. Brooks,B. Beal
