name,Season,Lg,Tm,G,MP,FG	,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks,2020-21,NBA,ATL,72,6.9%,2.3%,5.6%,-.015,7.7%,12.1%,-.014,0.3%,1.9%,-.008,-14.1%,-17.4%,+.031,-3.9%,-2.1%,-2.5%,4.8%,-7.2%,-15.2%,-11.9%,1.3%,-0.0%
Atlanta Hawks,2019-20,NBA,ATL,67,-18.0%,-17.2%,-18.1%,+.005,-21.3%,-22.2%,+.004,-15.6%,-15.5%,-.001,-19.3%,-20.8%,+.014,-14.1%,-17.3%,-16.6%,-24.0%,-25.9%,-4.5%,-18.5%,-22.7%,-18.0%
Atlanta Hawks,2018-19,NBA,ATL,82,0.8%,5.2%,4.4%,+.004,6.7%,11.9%,-.018,4.5%,0.2%,+.022,35.2%,37.7%,-.014,3.6%,4.3%,4.1%,3.0%,14.1%,-1.1%,-0.3%,9.4%,9.7%
Atlanta Hawks,2017-18,NBA,ATL,82,-0.9%,5.0%,-0.7%,+.025,6.3%,0.7%,+.020,4.5%,-1.4%,+.029,1.6%,1.7%,-.000,-4.0%,2.3%,0.8%,11.4%,-3.8%,6.8%,-1.9%,-6.1%,4.6%
Atlanta Hawks,2016-17,NBA,ATL,82,0.3%,4.3%,1.4%,+.013,31.5%,24.6%,+.019,-3.5%,-7.9%,+.022,-6.3%,-8.4%,+.017,-7.2%,-5.1%,-5.6%,6.1%,4.5%,3.2%,-4.7%,17.9%,4.8%
Atlanta Hawks,2015-16,NBA,ATL,82,0.5%,1.8%,3.6%,-.007,-5.7%,-4.9%,-.003,4.2%,7.4%,-.014,8.2%,9.6%,-.010,-0.4%,9.0%,6.5%,-6.4%,16.9%,1.7%,0.5%,-6.9%,2.2%
Atlanta Hawks,2014-15,NBA,ATL,82,-0.5%,-5.4%,-0.4%,-.023,10.1%,17.8%,-.024,-9.5%,-6.9%,-.014,-5.9%,-7.9%,+.016,7.5%,-2.1%,0.3%,1.6%,-10.1%,14.1%,5.6%,-1.9%,-4.3%
Atlanta Hawks,2013-14,NBA,ATL,82,-0.1%,2.9%,0.3%,+.012,5.5%,9.7%,-.014,2.3%,-2.7%,+.024,8.8%,10.9%,-.015,-5.0%,1.1%,-0.5%,4.2%,-2.5%,1.1%,-0.2%,6.5%,4.0%
Atlanta Hawks,2012-13,NBA,ATL,82,22.8%,29.1%,27.2%,+.007,58.6%,43.8%,+.035,23.3%,22.7%,+.002,23.7%,22.1%,+.010,30.3%,27.9%,28.5%,34.8%,39.5%,11.8%,25.0%,22.2%,30.1%
Atlanta Hawks,2011-12,NBA,ATL,66,-18.1%,-20.9%,-17.9%,-.017,-14.8%,-16.3%,+.006,-22.0%,-18.3%,-.022,-27.8%,-25.7%,-.021,-15.1%,-16.4%,-16.1%,-22.7%,-9.9%,-10.1%,-2.6%,-16.7%,-21.8%
Atlanta Hawks,2010-11,NBA,ATL,82,-0.6%,-1.3%,-1.3%,+.000,-4.4%,-2.4%,-.007,-0.7%,-1.0%,+.001,0.0%,-3.8%,+.029,-9.0%,0.7%,-1.9%,1.9%,8.3%,-3.1%,-9.6%,-4.1%,-1.2%
Atlanta Hawks,2009-10,NBA,ATL,82,0.8%,1.5%,0.2%,+.006,-9.1%,-7.0%,-.008,3.8%,2.3%,+.007,-0.4%,2.9%,-.024,-3.5%,-0.4%,-1.3%,0.8%,-4.5%,1.4%,1.2%,-5.9%,0.5%
Washington Wizards,2020-21,NBA,WAS,72,0.3%,-0.0%,3.6%,-.017,0.0%,1.6%,-.006,-0.0%,4.8%,-.026,-2.9%,-3.3%,+.003,-2.0%,0.3%,-0.2%,-2.9%,8.5%,-4.1%,-9.2%,-0.9%,-0.5%
Washington Wizards,2019-20,NBA,WAS,72,-12.9%,-12.8%,-14.3%,+.008,-9.9%,-11.3%,+.006,-14.0%,-16.0%,+.013,-0.3%,-0.3%,-.000,-19.6%,-12.5%,-14.2%,-15.7%,-14.3%,-4.0%,-10.0%,-8.0%,-10.6%
Washington Wizards,2018-19,NBA,WAS,82,0.4%,11.4%,7.3%,+.018,19.0%,12.4%,+.021,8.7%,4.6%,+.020,0.3%,-1.9%,+.017,16.3%,9.6%,11.1%,17.5%,-1.6%,-1.3%,5.6%,6.2%,10.3%
Washington Wizards,2017-18,NBA,WAS,82,0.0%,-1.8%,-0.9%,-.004,3.1%,7.6%,-.015,-3.4%,-4.8%,+.008,-1.3%,-2.6%,+.009,-7.3%,0.8%,-1.2%,-2.1%,5.8%,1.6%,-2.6%,1.1%,-1.3%
Washington Wizards,2016-17,NBA,WAS,82,0.5%,2.6%,1.6%,+.005,9.9%,11.9%,-.007,0.4%,-2.6%,+.015,-0.6%,1.8%,-.018,12.3%,-6.9%,-2.8%,1.3%,-8.3%,5.9%,-5.1%,-1.8%,2.7%
Washington Wizards,2015-16,NBA,WAS,82,-1.0%,6.9%,0.4%,+.028,12.2%,5.4%,+.022,5.4%,-1.6%,+.033,4.5%,0.3%,+.031,-5.8%,10.0%,6.2%,13.0%,0.9%,1.7%,15.7%,2.5%,6.9%
Washington Wizards,2014-15,NBA,WAS,82,-0.5%,-2.4%,3.2%,-.025,7.4%,6.9%,+.001,-4.9%,1.8%,-.033,-1.9%,1.6%,-.026,-0.7%,-1.3%,-1.2%,-10.4%,3.8%,9.4%,-12.9%,0.6%,-1.6%
Washington Wizards,2013-14,NBA,WAS,82,1.0%,3.2%,-1.0%,+.018,4.4%,4.9%,-.002,2.9%,-2.9%,+.028,6.1%,2.4%,+.027,-8.4%,-3.2%,-4.5%,3.2%,-1.3%,-10.6%,10.1%,2.0%,3.8%
Washington Wizards,2012-13,NBA,WAS,82,25.1%,21.6%,25.1%,-.013,37.6%,38.2%,-.002,18.1%,21.3%,-.013,12.3%,15.4%,-.020,11.3%,31.9%,26.1%,24.4%,22.9%,19.3%,18.8%,27.5%,20.9%
Washington Wizards,2011-12,NBA,WAS,66,-20.4%,-23.7%,-20.6%,-.018,-23.9%,-18.9%,-.023,-23.6%,-21.1%,-.016,-26.8%,-26.5%,-.003,-18.4%,-20.9%,-20.2%,-25.2%,-16.7%,-27.4%,-22.4%,-25.9%,-24.3%
Washington Wizards,2010-11,NBA,WAS,82,0.5%,3.0%,1.2%,+.008,6.1%,2.3%,+.013,2.3%,0.8%,+.007,5.4%,5.5%,-.000,6.3%,3.0%,3.9%,7.1%,9.7%,-0.5%,16.0%,-1.3%,3.6%
Washington Wizards,2009-10,NBA,WAS,82,0.6%,-2.6%,1.5%,-.019,-21.7%,-15.7%,-.027,2.6%,7.7%,-.025,6.9%,6.6%,+.002,0.1%,1.6%,1.2%,-12.1%,-4.0%,-3.7%,-2.2%,2.8%,-2.4%
Utah Jazz,2020-21,NBA,UTA,72,0.0%,0.4%,2.6%,-.009,-0.9%,2.6%,-.012,0.9%,2.5%,-.008,-11.6%,-11.7%,+.001,2.6%,-1.0%,-0.2%,3.6%,-2.1%,-14.3%,-7.0%,-9.1%,-1.5%
