,var_exp,var_exp,var_exp,var_exp,var_exp,var_exp,var_exp,var_exp,var_exp,var_exp,var_exp,var_exp
Season,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Team,,,,,,,,,,,,
Atlanta Hawks,16.247252747252748,11.779411764705884,23.095833333333328,13.764705882352942,15.594771241830067,17.400000000000002,16.845588235294112,23.568421052631578,10.036796536796535,20.346320346320354,24.828571428571433,22.251633986928102
Boston Celtics,26.444444444444443,28.190476190476186,29.691176470588236,25.89473684210526,14.497076023391811,15.30735930735931,10.308823529411763,11.885714285714284,9.378947368421054,11.566176470588234,9.882352941176471,10.857142857142858
Brooklyn Nets,,,,24.441176470588236,32.385964912280706,28.555555555555557,17.154411764705884,8.761904761904763,7.274891774891774,10.818713450292398,20.80434782608696,17.720797720797727
Charlotte Bobcats,16.888888888888893,16.035087719298247,16.26666666666667,13.411764705882355,10.918128654970763,,,,,,,
Charlotte Hornets,,,,,,14.51470588235294,11.117647058823529,12.5906432748538,16.5,24.5,18.466666666666665,10.382352941176471
Chicago Bulls,17.44117647058823,16.20952380952381,13.500000000000002,18.695238095238096,19.410526315789475,27.978021978021975,21.795833333333338,14.653594771241828,5.161904761904763,5.3008658008658,8.867647058823529,13.188311688311687
Cleveland Cavaliers,20.470588235294116,12.98245614035088,12.347619047619048,8.538011695906434,11.747619047619045,24.681578947368422,22.418300653594777,23.94761904761905,24.727272727272727,18.49002849002849,11.261904761904761,14.80666666666667
Dallas Mavericks,14.683006535947715,21.035947712418302,25.6625,29.99604743083004,30.952380952380956,21.42690058479532,22.962500000000002,25.014492753623184,26.019762845849797,31.690476190476186,11.695906432748536,14.251461988304092
Denver Nuggets,11.41025641025641,16.035087719298247,16.441176470588236,11.523809523809522,10.516666666666667,10.168421052631578,18.497076023391813,19.146198830409354,23.529411764705884,13.176470588235293,9.54761904761905,15.551948051948056
Detroit Pistons,17.362637362637365,21.000000000000004,18.41758241758242,16.249999999999996,20.066666666666666,11.684210526315791,10.360294117647058,9.380952380952381,10.80735930735931,19.039473684210527,11.09307359307359,14.290476190476188
Golden State Warriors,15.25263157894737,7.845588235294118,15.052631578947365,12.016339869281047,20.26143790849673,14.714285714285714,15.733333333333333,25.095588235294116,26.095588235294116,24.52941176470588,8.279220779220779,9.79084967320261
Houston Rockets,10.047619047619047,11.207894736842103,17.89473684210526,4.8315789473684205,7.830065359477125,20.155263157894733,21.205882352941174,21.781045751633993,24.867753623188406,23.494071146245062,25.047619047619047,16.409195402298852
Indiana Pacers,9.742857142857144,13.980952380952383,11.114285714285714,6.116666666666666,9.26470588235294,10.029166666666665,12.2625,15.79583333333333,16.0,13.095588235294118,4.5661764705882355,6.471052631578948
Los Angeles Clippers,14.690058479532167,11.84558823529412,17.205882352941174,25.638095238095243,17.989473684210527,16.431578947368422,21.898692810457515,24.78095238095238,12.914285714285715,17.636363636363633,17.778947368421054,24.894736842105264
Los Angeles Lakers,14.423076923076925,26.516666666666666,24.132352941176475,34.06666666666666,28.374269005847953,22.91830065359477,37.123809523809534,25.58496732026144,18.231884057971012,27.77705627705628,28.97631578947368,19.257309941520464
Memphis Grizzlies,13.683823529411764,10.467836257309942,13.779411764705884,12.302631578947368,16.653594771241828,24.134502923976612,25.220899470899468,32.345588235294116,11.432971014492752,15.365079365079364,9.299999999999999,7.388888888888889
Miami Heat,12.685714285714285,19.74264705882353,22.3625,29.7124183006536,22.653594771241824,18.347619047619048,27.144736842105257,14.552380952380952,19.485380116959067,23.320261437908496,25.04761904761905,30.133333333333333
Milwaukee Bucks,17.163742690058477,17.889705882352942,12.441176470588236,15.820261437908494,13.023391812865494,14.260526315789473,6.6911764705882355,17.80116959064328,14.166666666666668,17.85326086956522,23.735294117647054,16.893939393939394
Minnesota Timberwolves,7.6000000000000005,5.382352941176471,13.638095238095241,9.24561403508772,7.742647058823529,21.393333333333334,40.329166666666666,7.229166666666666,18.295833333333338,17.747619047619043,8.65036231884058,9.395833333333334
New Jersey Nets,12.860294117647058,12.718614718614717,11.95021645021645,,,,,,,,,
New Orleans Hornets,13.095833333333335,9.251461988304094,6.831168831168831,6.450292397660819,,,,,,,,
New Orleans Pelicans,,,,,5.961904761904762,6.733333333333334,7.999999999999998,7.958461538461536,17.976284584980235,8.094736842105263,16.845588235294116,16.714285714285715
New York Knicks,15.565789473684214,13.460526315789473,19.639705882352942,31.37426900584795,23.00653594771242,18.51315789473684,14.999999999999998,18.116666666666667,15.190476190476186,10.794466403162055,11.110294117647058,13.397660818713451
Oklahoma City Thunder,12.300653594771243,10.879084967320262,19.583333333333336,17.716666666666672,20.73202614379085,10.733333333333333,19.99264705882353,11.321637426900583,23.242647058823525,15.23202614379085,15.428104575163399,12.893939393939393
Orlando Magic,14.242424242424242,11.779411764705884,17.42916666666667,18.970588235294116,10.916666666666668,16.638095238095236,8.514705882352942,8.912280701754387,10.760233918128655,9.058823529411764,11.064327485380115,9.587301587301589
Philadelphia 76ers,12.999999999999998,17.35238095238095,17.295833333333338,14.860294117647056,3.509881422924902,7.410000000000001,14.88888888888889,7.157142857142858,15.146245059288537,16.026153846153846,11.333333333333336,22.38339920948616
Phoenix Suns,19.552380952380954,22.064327485380115,21.19230769230769,16.383333333333333,8.885714285714286,6.1778656126482225,12.964426877470355,22.352941176470587,15.664502164502158,27.97101449275362,6.04093567251462,13.867647058823529
Portland Trail Blazers,20.228070175438592,20.147058823529417,26.5359477124183,11.495238095238093,15.838095238095237,12.957516339869283,9.066666666666666,3.923809523809524,5.9833333333333325,6.810457516339872,23.081578947368424,17.308823529411764
Sacramento Kings,8.049999999999999,5.983333333333334,8.352380952380951,8.492647058823527,11.952569169960475,18.923976608187136,14.285714285714283,15.701754385964911,33.05882352941177,10.93421052631579,17.584980237154152,8.51449275362319
San Antonio Spurs,25.941176470588232,20.042105263157897,20.714285714285715,27.97058823529412,18.46783625730994,22.816176470588236,32.61764705882353,31.495833333333334,34.75,28.462500000000002,23.869281045751624,22.61437908496732
Toronto Raptors,8.82857142857143,9.116883116883116,13.31045751633987,7.781045751633987,8.957894736842105,9.257142857142856,7.929166666666666,8.90441176470588,14.722222222222225,15.707792207792208,15.898692810457517,10.227272727272728
Utah Jazz,7.78095238095238,11.492647058823533,14.399999999999997,13.104395604395604,13.500000000000004,4.398268398268398,3.4852941176470593,19.49523809523809,16.628571428571426,16.95751633986928,13.947368421052637,16.918300653594777
Washington Wizards,11.375,14.711462450592881,13.41428571428572,11.929824561403509,23.382352941176467,22.81045751633987,13.760233918128653,9.830065359477127,10.929166666666669,16.306666666666665,15.403162055335969,14.714285714285714
