Season,Tm,Age
2009-10,ATL,26.571428571428573
2009-10,BOS,28.0
2009-10,BRK,26.529411764705884
2009-10,CHI,26.944444444444443
2009-10,CHO,27.263157894736842
2009-10,CLE,27.055555555555557
2009-10,DAL,29.333333333333332
2009-10,DEN,27.615384615384617
2009-10,DET,26.857142857142858
2009-10,GSW,26.35
2009-10,HOU,25.952380952380953
2009-10,IND,26.466666666666665
2009-10,LAC,27.05263157894737
2009-10,LAL,27.615384615384617
2009-10,MEM,25.0
2009-10,MIA,27.333333333333332
2009-10,MIL,27.736842105263158
2009-10,MIN,25.0625
2009-10,NOP,27.8125
2009-10,NYK,25.8
2009-10,OKC,25.166666666666668
2009-10,ORL,27.833333333333332
2009-10,PHI,26.25
2009-10,PHO,26.866666666666667
2009-10,POR,25.789473684210527
2009-10,SAC,25.35
2009-10,SAS,28.11764705882353
2009-10,TOR,25.666666666666668
2009-10,TOT,27.303030303030305
2009-10,UTA,24.666666666666668
2009-10,WAS,27.208333333333332
2010-11,ATL,27.470588235294116
2010-11,BOS,27.904761904761905
2010-11,BRK,25.818181818181817
2010-11,CHI,27.466666666666665
2010-11,CHO,26.842105263157894
2010-11,CLE,26.210526315789473
2010-11,DAL,28.444444444444443
2010-11,DEN,27.210526315789473
2010-11,DET,27.23076923076923
2010-11,GSW,25.823529411764707
2010-11,HOU,25.85
2010-11,IND,26.133333333333333
2010-11,LAC,26.235294117647058
2010-11,LAL,29.0625
2010-11,MEM,25.473684210526315
2010-11,MIA,30.294117647058822
2010-11,MIL,27.294117647058822
2010-11,MIN,23.764705882352942
2010-11,NOP,26.57894736842105
2010-11,NYK,25.95
2010-11,OKC,25.166666666666668
2010-11,ORL,28.41176470588235
2010-11,PHI,26.533333333333335
2010-11,PHO,27.68421052631579
2010-11,POR,27.444444444444443
2010-11,SAC,24.75
2010-11,SAS,27.45
2010-11,TOR,25.681818181818183
2010-11,TOT,26.85542168674699
2010-11,UTA,26.294117647058822
2010-11,WAS,25.91304347826087
2011-12,ATL,29.3125
2011-12,BOS,28.235294117647058
2011-12,BRK,26.09090909090909
2011-12,CHI,28.0
2011-12,CHO,26.1875
2011-12,CLE,25.19047619047619
2011-12,DAL,29.4375
2011-12,DEN,25.764705882352942
2011-12,DET,27.071428571428573
2011-12,GSW,25.7
2011-12,HOU,25.789473684210527
2011-12,IND,26.6
2011-12,LAC,27.22222222222222
2011-12,LAL,27.764705882352942
2011-12,MEM,26.529411764705884
2011-12,MIA,28.4375
2011-12,MIL,25.764705882352942
2011-12,MIN,24.866666666666667
2011-12,NOP,25.454545454545453
2011-12,NYK,26.88235294117647
2011-12,OKC,26.125
2011-12,ORL,26.625
2011-12,PHI,26.125
2011-12,PHO,28.53846153846154
2011-12,POR,26.72222222222222
2011-12,SAC,24.4
2011-12,SAS,26.952380952380953
2011-12,TOR,26.77777777777778
2011-12,TOT,26.61111111111111
2011-12,UTA,26.133333333333333
2011-12,WAS,26.047619047619047
2012-13,ATL,26.88888888888889
2012-13,BOS,27.45
2012-13,BRK,27.529411764705884
2012-13,CHI,28.0
2012-13,CHO,26.22222222222222
2012-13,CLE,24.94736842105263
2012-13,DAL,28.608695652173914
2012-13,DEN,24.733333333333334
2012-13,DET,25.875
2012-13,GSW,25.125
2012-13,HOU,24.3
2012-13,IND,25.8125
2012-13,LAC,29.133333333333333
2012-13,LAL,28.25
2012-13,MEM,25.5
2012-13,MIA,29.77777777777778
2012-13,MIL,26.72222222222222
2012-13,MIN,26.736842105263158
2012-13,NOP,24.736842105263158
2012-13,NYK,31.31578947368421
2012-13,OKC,25.75
2012-13,ORL,25.27777777777778
