,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age
Season,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Tm,,,,,,,,,,,,
ATL,26.571428571428573,27.470588235294116,29.3125,26.88888888888889,26.11111111111111,27.0,27.470588235294116,28.2,25.5,25.136363636363637,25.761904761904763,25.666666666666668
BOS,28.0,27.904761904761905,28.235294117647058,27.45,25.68421052631579,26.181818181818183,24.5,25.266666666666666,25.4,25.58823529411765,24.58823529411765,25.0
BRK,26.529411764705884,25.818181818181817,26.09090909090909,27.529411764705884,28.842105263157894,27.526315789473685,26.0,25.80952380952381,25.227272727272727,25.31578947368421,26.166666666666668,27.0
CHI,26.944444444444443,27.466666666666665,28.0,28.0,27.75,28.285714285714285,27.5625,25.88888888888889,24.61904761904762,23.772727272727273,24.176470588235293,25.5
CHO,27.263157894736842,26.842105263157894,26.1875,26.22222222222222,26.157894736842106,26.11764705882353,25.941176470588236,25.789473684210527,25.470588235294116,25.764705882352942,24.9375,24.294117647058822
CLE,27.055555555555557,26.210526315789473,25.19047619047619,24.94736842105263,24.523809523809526,27.95,28.833333333333332,30.047619047619047,29.0,26.22222222222222,24.61904761904762,25.52
DAL,29.333333333333332,28.444444444444443,29.4375,28.608695652173914,28.2,28.57894736842105,29.1875,26.75,26.652173913043477,27.19047619047619,26.894736842105264,26.57894736842105
DEN,27.615384615384617,27.210526315789473,25.764705882352942,24.733333333333334,26.0,25.85,25.526315789473685,25.473684210526315,25.833333333333332,24.944444444444443,24.761904761904763,25.5
DET,26.857142857142858,27.23076923076923,27.071428571428573,25.875,25.6,27.0,25.88235294117647,25.466666666666665,26.318181818181817,26.45,25.454545454545453,24.714285714285715
GSW,26.35,25.823529411764707,25.7,25.125,26.333333333333332,26.733333333333334,27.375,27.88235294117647,28.0,27.41176470588235,24.59090909090909,25.5
HOU,25.952380952380953,25.85,25.789473684210527,24.3,25.38888888888889,26.65,27.055555555555557,26.0,28.0,27.391304347826086,28.761904761904763,25.966666666666665
IND,26.466666666666665,26.133333333333333,26.6,25.8125,27.176470588235293,27.8125,25.9375,26.9375,25.842105263157894,25.529411764705884,24.88235294117647,25.3
LAC,27.05263157894737,26.235294117647058,27.22222222222222,29.133333333333333,28.55,28.05,28.833333333333332,29.533333333333335,26.571428571428573,27.136363636363637,26.7,27.6
LAL,27.615384615384617,29.0625,27.764705882352942,28.25,27.263157894736842,25.88888888888889,27.066666666666666,26.72222222222222,25.5,25.954545454545453,28.1,28.0
MEM,25.0,25.473684210526315,26.529411764705884,25.5,26.88888888888889,27.68421052631579,27.857142857142858,27.235294117647058,25.458333333333332,26.892857142857142,24.952380952380953,24.27777777777778
MIA,27.333333333333332,30.294117647058822,28.4375,29.77777777777778,30.0,27.523809523809526,28.57894736842105,26.6,26.42105263157895,27.333333333333332,26.61904761904762,28.142857142857142
MIL,27.736842105263158,27.294117647058822,25.764705882352942,26.72222222222222,25.57894736842105,24.85,24.647058823529413,26.0,26.0,26.541666666666668,28.529411764705884,27.136363636363637
MIN,25.0625,23.764705882352942,24.866666666666667,26.736842105263158,26.0,25.96,27.0625,25.6875,27.0,26.904761904761905,24.541666666666668,23.4375
NOP,27.8125,26.57894736842105,25.454545454545453,24.736842105263158,25.571428571428573,25.476190476190474,26.666666666666668,25.846153846153847,28.08695652173913,25.85,24.88235294117647,25.571428571428573
NYK,25.8,25.95,26.88235294117647,31.31578947368421,28.22222222222222,27.25,26.75,26.625,25.857142857142858,24.73913043478261,24.941176470588236,25.210526315789473
OKC,25.166666666666668,25.166666666666668,26.125,25.75,27.22222222222222,25.523809523809526,27.235294117647058,25.94736842105263,26.705882352941178,25.11111111111111,24.555555555555557,23.863636363636363
ORL,27.833333333333332,28.41176470588235,26.625,25.27777777777778,24.875,24.933333333333334,24.88235294117647,25.473684210526315,25.263157894736842,24.941176470588236,26.0,24.892857142857142
PHI,26.25,26.533333333333335,26.125,25.529411764705884,23.391304347826086,23.88,24.333333333333332,24.714285714285715,25.304347826086957,25.846153846153847,25.894736842105264,26.043478260869566
PHO,26.866666666666667,27.68421052631579,28.53846153846154,26.25,25.866666666666667,25.695652173913043,25.695652173913043,25.666666666666668,24.363636363636363,25.458333333333332,24.157894736842106,26.294117647058822
POR,25.789473684210527,27.444444444444443,26.72222222222222,25.0,25.4,26.38888888888889,24.625,24.333333333333332,24.125,24.555555555555557,25.526315789473685,25.647058823529413
SAC,25.35,24.75,24.4,25.41176470588235,25.91304347826087,26.105263157894736,26.4,26.789473684210527,25.77777777777778,24.8,26.17391304347826,24.958333333333332
SAS,28.11764705882353,27.45,26.952380952380953,27.5625,27.894736842105264,28.470588235294116,31.058823529411764,28.75,28.058823529411764,27.6875,26.333333333333332,25.833333333333332
TOR,25.666666666666668,25.681818181818183,26.77777777777778,26.0,26.15,25.933333333333334,25.375,25.11764705882353,24.833333333333332,27.09090909090909,25.444444444444443,25.90909090909091
TOT,27.303030303030305,26.85542168674699,26.61111111111111,26.12,26.41269841269841,26.32894736842105,27.9,26.39622641509434,26.677966101694917,26.825581395348838,26.566666666666666,27.0
UTA,24.666666666666668,26.294117647058822,26.133333333333333,26.0,25.823529411764707,24.0,24.529411764705884,26.2,26.238095238095237,26.833333333333332,25.9,26.72222222222222
WAS,27.208333333333332,25.91304347826087,26.047619047619047,26.210526315789473,26.647058823529413,28.61111111111111,27.94736842105263,25.666666666666668,27.133333333333333,26.6,25.26086956521739,25.238095238095237
