,avg_exp,avg_exp,avg_exp,avg_exp,avg_exp,avg_exp,avg_exp,avg_exp,avg_exp,avg_exp,avg_exp,avg_exp
Season,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Team,,,,,,,,,,,,
Atlanta Hawks,5.642857142857143,5.823529411764706,7.8125,5.333333333333333,3.7777777777777777,4.75,5.294117647058823,5.9,2.6818181818181817,3.1818181818181817,4.142857142857143,4.388888888888889
Boston Celtics,6.0,6.761904761904762,7.235294117647059,6.0,4.052631578947368,4.545454545454546,3.0588235294117645,4.2,2.7,3.764705882352941,2.411764705882353,3.5714285714285716
Brooklyn Nets,4.882352941176471,4.363636363636363,3.9545454545454546,5.764705882352941,7.052631578947368,5.0,4.176470588235294,3.4761904761904763,3.3181818181818183,3.473684210526316,4.75,5.481481481481482
Charlotte Hornets,6.0,5.421052631578948,4.5,4.666666666666667,4.157894736842105,4.470588235294118,4.352941176470588,4.421052631578948,4.0,5.0,3.75,2.588235294117647
Chicago Bulls,4.5,5.066666666666666,5.5,6.533333333333333,5.6,5.857142857142857,5.0625,3.7777777777777777,2.4761904761904763,2.409090909090909,2.6470588235294117,4.045454545454546
Cleveland Cavaliers,4.666666666666667,3.736842105263158,2.9523809523809526,3.263157894736842,2.9523809523809526,6.45,6.777777777777778,8.380952380952381,7.181818181818182,4.481481481481482,3.1904761904761907,3.84
Dallas Mavericks,7.722222222222222,7.277777777777778,7.9375,6.217391304347826,6.333333333333333,7.2631578947368425,7.1875,3.8333333333333335,3.739130434782609,4.904761904761905,4.157894736842105,4.157894736842105
Denver Nuggets,5.923076923076923,5.578947368421052,4.235294117647059,3.6666666666666665,4.625,4.2,3.9473684210526314,4.578947368421052,4.666666666666667,3.3333333333333335,3.380952380952381,3.8636363636363638
Detroit Pistons,5.142857142857143,6.0,4.428571428571429,3.875,3.933333333333333,5.0,4.117647058823529,3.6666666666666665,4.045454545454546,4.75,3.9545454545454546,3.9047619047619047
Golden State Warriors,4.1,3.7058823529411766,4.0,3.388888888888889,4.444444444444445,5.0,6.0,6.705882352941177,6.705882352941177,5.823529411764706,2.772727272727273,3.5555555555555554
Houston Rockets,3.0476190476190474,3.45,3.6842105263157894,2.1,3.2222222222222223,4.05,5.833333333333333,4.611111111111111,5.791666666666667,5.695652173913044,7.0476190476190474,4.266666666666667
Indiana Pacers,4.2,4.133333333333334,4.4,3.375,4.529411764705882,4.8125,4.5625,5.9375,4.0,4.294117647058823,3.235294117647059,3.55
Los Angeles Clippers,5.368421052631579,4.294117647058823,5.5,7.733333333333333,7.1,6.3,6.388888888888889,8.266666666666667,3.7142857142857144,4.7272727272727275,5.1,6.5
Los Angeles Lakers,6.615384615384615,7.875,6.588235294117647,6.75,5.473684210526316,4.277777777777778,5.133333333333334,4.944444444444445,3.6666666666666665,4.409090909090909,7.15,6.578947368421052
Memphis Grizzlies,2.9411764705882355,3.3684210526315788,4.176470588235294,4.25,5.222222222222222,5.631578947368421,5.535714285714286,5.294117647058823,3.0416666666666665,4.571428571428571,3.0,2.7222222222222223
Miami Heat,5.6,8.647058823529411,6.3125,7.777777777777778,7.777777777777778,5.380952380952381,7.25,4.533333333333333,4.526315789473684,5.555555555555555,4.9523809523809526,6.333333333333333
Milwaukee Bucks,5.052631578947368,5.470588235294118,4.235294117647059,5.055555555555555,3.3684210526315788,3.55,3.235294117647059,4.368421052631579,3.9166666666666665,4.875,7.117647058823529,4.681818181818182
Minnesota Timberwolves,3.5,2.588235294117647,3.7333333333333334,3.6315789473684212,3.6470588235294117,3.68,5.0625,3.8125,5.1875,4.619047619047619,3.2916666666666665,3.0625
New Orleans Pelicans,5.1875,4.157894736842105,2.5454545454545454,2.6842105263157894,3.1904761904761907,3.6666666666666665,5.0,4.038461538461538,5.391304347826087,4.1,3.2941176470588234,3.7142857142857144
New York Knicks,4.75,4.25,5.529411764705882,8.526315789473685,6.222222222222222,4.75,4.75,4.125,4.095238095238095,3.391304347826087,3.8823529411764706,4.2105263157894735
Oklahoma City Thunder,3.2222222222222223,4.055555555555555,4.625,4.625,5.444444444444445,4.333333333333333,5.647058823529412,3.8947368421052633,5.352941176470588,3.9444444444444446,3.388888888888889,2.6818181818181817
Orlando Magic,6.333333333333333,7.176470588235294,5.3125,3.8333333333333335,3.375,3.7333333333333334,3.4705882352941178,3.6315789473684212,3.736842105263158,2.9411764705882355,3.789473684210526,3.4285714285714284
Philadelphia 76ers,4.75,5.066666666666666,4.3125,4.117647058823529,1.6521739130434783,1.92,2.7777777777777777,2.4285714285714284,3.652173913043478,4.115384615384615,4.0,4.260869565217392
Phoenix Suns,4.866666666666666,5.2105263157894735,6.769230769230769,3.875,3.2,3.217391304347826,3.652173913043478,4.333333333333333,3.0454545454545454,4.333333333333333,2.473684210526316,4.352941176470588
Portland Trail Blazers,4.315789473684211,4.833333333333333,5.222222222222222,3.2666666666666666,3.8666666666666667,4.611111111111111,3.0,3.066666666666667,3.375,3.888888888888889,4.65,4.9411764705882355
Sacramento Kings,3.05,2.625,3.066666666666667,3.6470588235294117,4.043478260869565,4.421052631578948,5.0,5.421052631578948,4.0,3.25,4.304347826086956,3.4166666666666665
San Antonio Spurs,5.764705882352941,4.4,4.285714285714286,5.705882352941177,5.368421052631579,6.235294117647059,8.647058823529411,6.1875,6.0,6.0625,5.111111111111111,4.555555555555555
Toronto Raptors,4.4,3.5454545454545454,4.388888888888889,4.388888888888889,4.3,4.6,4.0625,3.823529411764706,3.388888888888889,5.2272727272727275,3.388888888888889,3.6818181818181817
Utah Jazz,3.2666666666666666,4.647058823529412,4.6,4.785714285714286,4.0,1.7272727272727273,2.1176470588235294,4.733333333333333,3.857142857142857,4.611111111111111,3.5,4.277777777777778
Washington Wizards,4.625,3.4347826086956523,3.7142857142857144,4.473684210526316,5.588235294117647,7.111111111111111,6.2631578947368425,3.7777777777777777,5.5625,5.16,3.3043478260869565,3.7142857142857144
