Season,Team,Salary
2009-10,Atlanta Hawks,4705974.428571428
2009-10,Boston Celtics,5968012.428571428
2009-10,Brooklyn Nets,3492159.705882353
2009-10,Charlotte Hornets,4905839.857142857
2009-10,Chicago Bulls,4100021.117647059
2009-10,Cleveland Cavaliers,4905796.117647059
2009-10,Dallas Mavericks,6351148.214285715
2009-10,Denver Nuggets,5352538.428571428
2009-10,Detroit Pistons,4012388.8666666667
2009-10,Golden State Warriors,3439598.5263157897
2009-10,Houston Rockets,3627103.736842105
2009-10,Indiana Pacers,4170828.5625
2009-10,Los Angeles Clippers,3423133.8333333335
2009-10,Los Angeles Lakers,7029081.846153846
2009-10,Memphis Grizzlies,3015130.210526316
2009-10,Miami Heat,4947200.866666666
2009-10,Milwaukee Bucks,4173475.125
2009-10,Minnesota Timberwolves,3661962.3529411764
2009-10,New Orleans Pelicans,5011701.928571428
2009-10,New York Knicks,5714005.066666666
2009-10,Oklahoma City Thunder,3075718.210526316
2009-10,Orlando Magic,6323147.384615385
2009-10,Philadelphia 76ers,4634532.0
2009-10,Phoenix Suns,4705534.0
2009-10,Portland Trail Blazers,3349779.882352941
2009-10,Sacramento Kings,3384206.5555555555
2009-10,San Antonio Spurs,5667022.071428572
2009-10,Toronto Raptors,4238902.0625
2009-10,Utah Jazz,5992103.666666667
2009-10,Washington Wizards,4590017.125
2010-11,Atlanta Hawks,5104988.785714285
2010-11,Boston Celtics,5860419.071428572
2010-11,Brooklyn Nets,3899732.6
2010-11,Charlotte Hornets,3696816.4444444445
2010-11,Chicago Bulls,4195236.615384615
2010-11,Cleveland Cavaliers,3175883.588235294
2010-11,Dallas Mavericks,5338118.125
2010-11,Denver Nuggets,4858520.714285715
2010-11,Detroit Pistons,4646015.5
2010-11,Golden State Warriors,4561022.4
2010-11,Houston Rockets,4821043.6
2010-11,Indiana Pacers,4068039.375
2010-11,Los Angeles Clippers,3326583.0625
2010-11,Los Angeles Lakers,6530581.428571428
2010-11,Memphis Grizzlies,4131843.7647058824
2010-11,Miami Heat,4078665.4375
2010-11,Milwaukee Bucks,4063334.705882353
2010-11,Minnesota Timberwolves,3341320.1875
2010-11,New Orleans Pelicans,4013572.294117647
2010-11,New York Knicks,4467770.8
2010-11,Oklahoma City Thunder,3994463.4285714286
2010-11,Orlando Magic,6483628.857142857
2010-11,Philadelphia 76ers,4922517.571428572
2010-11,Phoenix Suns,4394703.333333333
2010-11,Portland Trail Blazers,4972270.533333333
2010-11,Sacramento Kings,2829279.0625
2010-11,San Antonio Spurs,3659069.0
2010-11,Toronto Raptors,3683823.5789473685
2010-11,Utah Jazz,5418235.428571428
2010-11,Washington Wizards,3240277.111111111
2011-12,Atlanta Hawks,4604369.5
2011-12,Boston Celtics,5321368.666666667
2011-12,Brooklyn Nets,3264061.75
2011-12,Charlotte Hornets,3860134.933333333
2011-12,Chicago Bulls,4967746.214285715
2011-12,Cleveland Cavaliers,3604199.9444444445
2011-12,Dallas Mavericks,5727954.538461538
2011-12,Denver Nuggets,3903544.8666666667
2011-12,Detroit Pistons,4728240.333333333
2011-12,Golden State Warriors,3622170.6470588236
2011-12,Houston Rockets,3563859.6875
2011-12,Indiana Pacers,3682434.5
2011-12,Los Angeles Clippers,3960787.588235294
2011-12,Los Angeles Lakers,5516529.875
2011-12,Memphis Grizzlies,4172961.705882353
2011-12,Miami Heat,4941163.866666666
2011-12,Milwaukee Bucks,4012825.8666666667
2011-12,Minnesota Timberwolves,3789622.6
2011-12,New Orleans Pelicans,3635611.5555555555
2011-12,New York Knicks,4763005.75
2011-12,Oklahoma City Thunder,3718856.8125
2011-12,Orlando Magic,5435176.5625
2011-12,Philadelphia 76ers,4762312.0
2011-12,Phoenix Suns,4146286.0
2011-12,Portland Trail Blazers,4910533.5
2011-12,Sacramento Kings,3496445.4285714286
2011-12,San Antonio Spurs,4337221.294117647
2011-12,Toronto Raptors,3670869.933333333
2011-12,Utah Jazz,4380673.923076923
2011-12,Washington Wizards,3692423.0
2012-13,Atlanta Hawks,3709353.611111111
2012-13,Boston Celtics,4043621.611111111
2012-13,Brooklyn Nets,5268137.8125
2012-13,Charlotte Hornets,3832793.2666666666
2012-13,Chicago Bulls,5401978.5
2012-13,Cleveland Cavaliers,3258503.9523809524
2012-13,Dallas Mavericks,3369958.45
2012-13,Denver Nuggets,4285378.875
2012-13,Detroit Pistons,4735192.076923077
2012-13,Golden State Warriors,5361180.461538462
2012-13,Houston Rockets,2530833.9545454546
2012-13,Indiana Pacers,4167997.5
2012-13,Los Angeles Clippers,4647153.0625
2012-13,Los Angeles Lakers,6696772.866666666
2012-13,Memphis Grizzlies,4496774.142857143
2012-13,Miami Heat,5097394.4375
2012-13,Milwaukee Bucks,4165093.0
2012-13,Minnesota Timberwolves,3285804.5714285714
2012-13,New Orleans Pelicans,3758895.529411765
2012-13,New York Knicks,5198059.533333333
2012-13,Oklahoma City Thunder,4524216.266666667
2012-13,Orlando Magic,4584990.421052632
2012-13,Philadelphia 76ers,4668459.444444444
2012-13,Phoenix Suns,3380265.222222222
2012-13,Portland Trail Blazers,4338681.764705882
2012-13,Sacramento Kings,3879816.8571428573
2012-13,San Antonio Spurs,4361731.5
