,Salary,Salary,Salary,Salary,Salary,Salary,Salary,Salary,Salary,Salary,Salary,Salary
Season,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Team,,,,,,,,,,,,
Atlanta Hawks,4705974.428571428,5104988.785714285,4604369.5,3709353.611111111,3937976.6428571427,3431627.705882353,4758541.733333333,4800362.5,3501779.6551724137,4500070.541666667,5191454.636363637,6533295.833333333
Boston Celtics,5968012.428571428,5860419.071428572,5321368.666666667,4043621.611111111,5797237.181818182,2909172.476190476,3857615.8,4673266.4,5567914.714285715,6704866.157894737,6024898.15,6630913.05
Brooklyn Nets,3492159.705882353,3899732.6,3264061.75,5268137.8125,6840599.666666667,5742093.25,4408237.0,3496090.4166666665,4937016.7,5418051.318181818,5368696.75,7113452.083333333
Charlotte Hornets,4905839.857142857,3696816.4444444445,3860134.933333333,3832793.2666666666,4344218.714285715,4219692.111111111,4850616.5625,5009773.666666667,7442417.5,7304562.352941177,6915697.277777778,6065060.833333333
Chicago Bulls,4100021.117647059,4195236.615384615,4967746.214285715,5401978.5,6545833.461538462,5077764.0625,5692393.2,5781367.9375,3533230.0,4989085.217391305,6213645.2105263155,7636388.529411765
Cleveland Cavaliers,4905796.117647059,3175883.588235294,3604199.9444444445,3258503.9523809524,4277309.454545454,5469251.2,7064168.0,7069698.833333333,7762045.444444444,6022572.380952381,5979828.181818182,5034234.615384615
Dallas Mavericks,6351148.214285715,5338118.125,5727954.538461538,3369958.45,4820446.928571428,4191003.25,3893700.8947368423,3999772.1153846155,3743219.5,4509572.4,6192019.6,7136672.722222222
Denver Nuggets,5352538.428571428,4858520.714285715,3903544.8666666667,4285378.875,4488293.4,2962002.947368421,3300288.8181818184,3590173.782608696,6048095.5,6222630.47368421,7299657.666666667,6920238.684210527
Detroit Pistons,4012388.8666666667,4646015.5,4728240.333333333,4735192.076923077,4929756.083333333,4171136.375,3649466.1904761903,6052138.611111111,5793976.0,6689186.894736842,5544072.458333333,5842898.2
Golden State Warriors,3439598.5263157897,4561022.4,3622170.6470588236,5361180.461538462,5135702.0,4326685.529411765,5856699.8125,5078779.45,7572055.777777778,8224273.611111111,7307107.222222222,9095901.157894736
Houston Rockets,3627103.736842105,4821043.6,3563859.6875,2530833.9545454546,3963320.375,4149970.0476190476,5010467.333333333,5027683.222222222,4653891.307692308,6031459.571428572,5788863.434782608,4734225.464285715
Indiana Pacers,4170828.5625,4068039.375,3682434.5,4167997.5,4584599.666666667,5011621.6,4193299.294117647,4699175.2,4153039.1739130435,5076469.0,6447724.555555556,6602190.45
Los Angeles Clippers,3423133.8333333335,3326583.0625,3960787.588235294,4647153.0625,5623373.923076923,4257953.842105263,5310317.444444444,6457641.166666667,5501306.454545454,5005269.833333333,7544022.888888889,7839927.444444444
Los Angeles Lakers,7029081.846153846,6530581.428571428,5516529.875,6696772.866666666,6396300.75,3939694.1666666665,4517507.8125,5287010.166666667,4524392.956521739,5456312.35,5785379.7727272725,6704741.761904762
Memphis Grizzlies,3015130.210526316,4131843.7647058824,4172961.705882353,4496774.142857143,5270704.214285715,4185623.6666666665,3328022.04,5054963.136363637,4502448.04,5449971.869565218,5027900.653846154,6042362.090909091
Miami Heat,4947200.866666666,4078665.4375,4941163.866666666,5097394.4375,5872784.571428572,4844223.823529412,5364147.0,5353600.263157895,6611692.9,7985073.105263158,6784615.4,7119679.105263158
Milwaukee Bucks,4173475.125,4063334.705882353,4012825.8666666667,4165093.0,3512509.3571428573,2925873.380952381,4176092.529411765,5325606.05,4961511.458333333,6038844.380952381,6221656.409090909,6672867.25
Minnesota Timberwolves,3661962.3529411764,3341320.1875,3789622.6,3285804.5714285714,4820417.5,3596298.0,4262259.823529412,4295862.052631579,5894732.444444444,5628118.954545454,7440897.833333333,8161895.0625
New Orleans Pelicans,5011701.928571428,4013572.294117647,3635611.5555555555,3758895.529411765,4783545.307692308,3849446.0,3835668.6818181816,4068295.44,5249869.739130435,6039836.842105263,6493870.944444444,6779522.55
New York Knicks,5714005.066666666,4467770.8,4763005.75,5198059.533333333,6837725.153846154,4368798.157894737,4418304.764705882,6087993.764705882,4829803.318181818,5963760.19047619,6237834.277777778,3712751.0
Oklahoma City Thunder,3075718.210526316,3994463.4285714286,3718856.8125,4524216.266666667,5084383.142857143,4924477.0,6308177.333333333,4563247.45,7534896.166666667,7668405.368421053,7140572.684210527,3265742.966666667
Orlando Magic,6323147.384615385,6483628.857142857,5435176.5625,4584990.421052632,4744994.705882353,2666923.15,3334192.4210526315,5783907.555555556,5125727.736842105,5820866.25,6435485.0,4952366.666666667
Philadelphia 76ers,4634532.0,4922517.571428572,4762312.0,4668459.444444444,4210357.571428572,2090962.5925925926,2767234.652173913,3059795.535714286,4518460.652173913,5739673.15,7044618.736842105,7187707.857142857
Phoenix Suns,4705534.0,4394703.333333333,4146286.0,3380265.222222222,3788975.6470588236,3022883.272727273,3168236.772727273,4053132.285714286,4103006.5217391304,4243500.923076923,6424345.684210527,7616476.823529412
Portland Trail Blazers,3349779.882352941,4972270.533333333,4910533.5,4338681.764705882,5295234.533333333,5424759.235294118,3388926.3333333335,7458184.533333333,6009526.1,7361803.722222222,6629815.428571428,7403288.944444444
Sacramento Kings,3384206.5555555555,2829279.0625,3496445.4285714286,3879816.8571428573,5251024.8,3877679.5789473685,4223868.882352941,4797154.6,4240580.0,4788191.136363637,5196975.521739131,4886248.363636363
San Antonio Spurs,5667022.071428572,3659069.0,4337221.294117647,4361731.5,4547573.428571428,4093799.0,4853616.611111111,5655356.894736842,6498270.555555556,6212436.55,6591874.631578947,6218923.285714285
Toronto Raptors,4238902.0625,3683823.5789473685,3670869.933333333,4185910.1875,3791143.8571428573,4444844.94117647,4224097.94117647,6781779.3125,6232915.368421053,7620429.777777778,6265243.8,5908825.090909091
Utah Jazz,5992103.666666667,5418235.428571428,4380673.923076923,4978280.692307692,4540956.333333333,2806256.523809524,3236694.2,4736658.411764706,5186495.571428572,6682031.294117647,6149997.05,7679158.444444444
Washington Wizards,4590017.125,3240277.111111111,3692423.0,3317169.4,4576064.642857143,4617134.5,4679850.944444444,5685243.444444444,6576640.631578947,5967233.80952381,5765788.478260869,6958023.578947368
